Symbol,ETF Name,Total Assets,YTD,Avg Volume,Previous Closing Price,1-Day Change,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
RSP,Invesco S&P 500® Equal Weight ETF,"$63,969,100",12.51%,"6,484,149",$176.81,-0.62%,0.34%,1.69%,26.37%,6.26%,12.22%,"$7,564,851,370.00","$506,519,300.00","$1,493,750,710.00","$12,173,620,260.00","$26,638,170,250.00","$33,901,908,440.00",Large Cap Blend Equities,2003-04-24,0.20%,Charles Schwab,$1.93,2024-03-18,$0.68,1.08%,16.14,1.05,505,2.41%,40%,20%,1099,$170.24,$179.28,$176.15,$177.87,60.36,A-,A+,A-,B-,B-,B,A-,6.82,70.38%,61.80%,192.83,9.45%,5.69%
SCHD,Schwab US Dividend Equity ETF,"$61,618,200",11.53%,"2,944,803",$83.37,-1.99%,-0.92%,-0.16%,21.45%,6.80%,12.69%,"$3,375,768,500.00","$202,920,500.00","$699,431,000.00","$4,303,039,500.00","$27,117,193,000.00","$39,403,978,000.00",Large Cap Blend Equities,2011-10-20,0.06%,Charles Schwab,$2.83,2024-06-26,$0.82,3.33%,14.91,0.88,101,40.92%,40%,20%,1099,$81.99,$85.35,$83.00,$84.07,53.15,B+,A,A,C+,B-,A,C+,6.87,67.42%,63.89%,71.87,7.80%,1.12%
IWD,iShares Russell 1000 Value ETF,"$60,459,100",14.29%,"1,563,614",$187.30,-1.21%,0.00%,0.81%,25.20%,7.39%,10.15%,"-$2,547,778,327.05","$28,574,120.70","$275,583,287.05","$158,536,308.35","-$3,163,569,982.60","$1,128,739,087.40",Large Cap Blend Equities,2000-05-22,0.19%,TD Ameritrade,$3.42,2024-06-11,$0.70,1.80%,14.89,0.95,874,17.00%,40%,20%,1099,$182.47,$190.46,$186.59,$188.49,57.04,A-,A,A-,B-,B,B+,A,6.46,15.64%,46.87%,169.3,12.55%,4.12%
VYM,Vanguard High Dividend Yield Index ETF,"$58,669,300",16.01%,"815,428",$126.84,-0.70%,0.76%,1.59%,26.25%,9.91%,10.98%,"$487,631,208.67","$166,954,112.21","$341,088,798.44","-$284,399,904.61","$10,275,062,756.51","$16,819,177,833.95",Large Cap Blend Equities,2006-11-10,0.06%,2 Platforms,$3.63,2024-09-20,$0.85,2.84%,14.80,0.84,553,24.67%,40%,20%,1099,$122.23,$128.39,$126.34,$127.64,60.34,A,A,A,C+,B+,A,A-,6.66,39.35%,53.96%,195.17,8.73%,1.76%
SPLG,SPDR Portfolio S&P 500 ETF,"$45,904,000",21.14%,"6,589,097",$67.04,-0.22%,1.84%,2.41%,35.73%,10.36%,15.90%,"$13,620,396,556.75","$261,186,072.80","$1,077,244,660.65","$17,605,950,158.60","$24,926,219,064.40","$31,401,954,700.50",Large Cap Blend Equities,2005-11-08,0.02%,N/A,$0.86,2024-09-23,$0.22,1.28%,17.86,1.00,505,34.48%,40%,20%,1099,$63.48,$67.66,$66.88,$67.23,61.43,A,A,A+,A-,B,B-,N/A,6.7,48.20%,56.17%,96.64,10.85%,7.30%
JEPI,JPMorgan Equity Premium Income Fund,"$35,742,300",12.67%,"2,964,966",$59.13,-0.20%,0.48%,2.11%,18.92%,8.16%,N/A,"$2,742,008,750.00","$183,501,000.00","$372,992,000.00","$3,514,917,750.00","$30,338,493,750.00","$34,017,910,000.00",Large Cap Blend Equities,2020-05-20,0.35%,N/A,$4.19,2024-09-03,$0.40,7.08%,18.15,0.62,119,18.03%,40%,20%,1099,$57.48,$59.58,$59.01,$59.28,64.63,A,A,B+,B,A,A,N/A,6.81,85.39%,61.12%,159.99,9.79%,5.37%
IVE,iShares S&P 500 Value ETF,"$35,277,700",13.04%,"489,366",$194.76,-1.21%,-0.26%,0.50%,28.57%,11.42%,12.71%,"$3,760,741,655.75","-$88,662,213.90","-$39,334,674.45","$3,964,976,657.35","$5,060,972,601.60","$7,148,790,266.60",Large Cap Blend Equities,2000-05-22,0.18%,2 Platforms,$3.32,2024-06-11,$0.85,1.69%,18.40,0.94,438,19.28%,40%,20%,1099,$191.23,$197.91,$194.02,$195.93,56.37,A,A,A-,A-,B,A-,B+,6.57,25.33%,50.66%,166.03,13.21%,3.41%
DGRO,iShares Core Dividend Growth ETF,"$30,340,600",16.34%,"1,277,672",$61.96,-1.26%,-0.11%,0.90%,27.08%,8.75%,12.29%,"$902,664,241.05","$145,652,662.70","$43,668,800.10","$1,263,553,525.20","$4,642,489,740.55","$12,404,066,075.55",Large Cap Blend Equities,2014-06-10,0.08%,Fidelity,$1.36,2024-06-11,$0.29,2.17%,16.29,0.89,413,26.38%,40%,20%,1099,$60.44,$62.99,$61.71,$62.32,57.70,A,A,A,B-,A-,A-,A-,6.79,58.65%,60.39%,194.21,8.98%,1.34%
SPYV,SPDR Portfolio S&P 500 Value ETF,"$24,690,100",13.83%,"3,019,021",$52.22,-0.57%,0.35%,1.06%,29.45%,11.78%,13.01%,"$2,012,625,194.45","$78,893,231.80","$1,192,421,236.95","$3,996,320,404.65","$7,027,562,204.40","$13,759,875,583.00",Large Cap Blend Equities,2000-09-25,0.04%,N/A,$1.05,2024-09-23,$0.28,2.00%,16.16,0.94,438,19.22%,40%,20%,1099,$50.97,$52.79,$52.02,$52.53,59.65,A,A,A,A,B,A-,B+,6.57,25.44%,50.69%,165.85,13.27%,3.42%
IUSV,iShares Core S&P U.S. Value ETF,"$19,336,000",12.76%,"483,445",$94.18,-1.29%,-0.33%,0.42%,28.35%,11.24%,12.74%,"$1,636,050,657.05","$23,712,253.70","$99,531,679.40","$2,086,392,207.60","$4,429,765,034.60","$7,054,543,554.60",Large Cap Blend Equities,2000-07-24,0.04%,N/A,$1.71,2024-06-11,$0.42,1.82%,17.75,0.95,729,18.06%,40%,20%,1099,$92.41,$95.86,$93.84,$94.79,55.65,A,A,A,A-,B-,A-,A,6.54,22.33%,49.61%,164.66,12.64%,3.64%
