Symbol,ETF Name,Total Assets,YTD,Avg Volume,Previous Closing Price,1-Day Change,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
SPY,SPDR S&P 500 ETF Trust,"$582,958,000",21.06%,"51,725,584",$570.04,-0.22%,1.85%,2.42%,35.66%,10.30%,15.79%,"-$9,710,960,344.65","$17,211,028,862.75","$9,648,357,853.90","$36,846,529,970.00","$53,793,674,389.10","$51,270,811,193.30",Large Cap Growth Equities,1993-01-22,0.09%,N/A,$7.01,2024-09-20,$1.75,1.23%,17.86,1.00,504,34.54%,40%,20%,1099,$539.80,$575.25,$568.67,$571.65,61.41,A,A+,A-,B,B+,A-,A-,6.7,47.33%,56.10%,96.61,10.89%,7.31%
VOO,Vanguard S&P 500 ETF,"$543,177,000",21.15%,"5,665,266",$525.61,-0.20%,1.88%,2.43%,35.80%,10.37%,15.86%,"$87,026,291,486.53","$18,045,847,093.74","$26,775,226,437.47","$99,871,767,098.45","$175,483,777,057.34","$237,006,288,738.23",Large Cap Growth Equities,2010-09-07,0.03%,Vanguard,$6.62,2024-06-28,$1.78,1.26%,20.10,1.00,506,34.16%,40%,20%,1099,$497.60,$530.42,$524.41,$527.06,61.40,A,A,A,B,B+,A-,A-,6.7,47.80%,56.14%,96.83,10.89%,7.32%
IVV,iShares Core S&P 500 ETF,"$504,064,000",20.64%,"5,146,941",$572.66,-0.62%,1.44%,2.01%,35.25%,10.21%,15.79%,"$17,716,946,353.15","-$26,158,389,889.55","-$26,264,446,290.45","$42,930,960,649.05","$89,027,371,287.75","$111,073,226,722.75",Large Cap Growth Equities,2000-05-15,0.03%,3 Platforms,$7.19,2024-06-11,$1.61,1.25%,19.66,1.00,505,34.87%,40%,20%,1099,$544.57,$579.86,$571.35,$574.31,59.45,A,A,A,B,B+,A-,A-,6.7,46.93%,56.06%,96.79,10.83%,7.27%
VTI,Vanguard Total Stock Market ETF,"$441,199,000",19.69%,"2,832,180",$281.94,-0.33%,1.65%,2.36%,34.88%,8.61%,15.06%,"$24,496,764,440.12","-$415,538,974.96","$3,550,600,056.29","$32,681,959,315.31","$86,222,862,216.09","$155,201,700,585.76",Large Cap Growth Equities,2001-05-24,0.03%,2 Platforms,$3.66,2024-06-28,$0.95,1.30%,19.10,1.02,3625,29.80%,40%,20%,1099,$266.76,$285.08,$281.24,$282.89,60.81,A,A,A,B-,B,B+,A,6.56,24.08%,50.26%,96.61,10.08%,7.03%
QQQ,Invesco QQQ Trust Series I,"$294,017,000",19.14%,"37,429,728",$485.82,0.09%,3.19%,3.21%,38.10%,9.90%,21.71%,"$19,689,058,450.00","$2,281,270,700.00","$32,411,750.00","$23,691,075,100.00","$38,282,873,100.00","$69,270,699,300.00",Large Cap Growth Equities,1999-03-10,0.20%,N/A,$3.04,2024-09-23,$0.68,0.62%,22.70,1.11,102,50.97%,40%,20%,1099,$450.02,$490.48,$484.32,$487.55,58.74,B+,A,B+,A,C+,B-,B-,6.79,64.88%,60.18%,59.12,6.99%,9.28%
VUG,Vanguard Growth ETF,"$140,168,000",23.91%,"991,940",$384.22,0.23%,3.04%,3.08%,43.17%,8.74%,19.04%,"$10,313,586,718.09","-$1,503,526,134.04","$854,412,117.80","$12,676,309,673.31","$24,050,450,176.09","$30,489,212,265.69",Large Cap Growth Equities,2004-01-26,0.04%,2 Platforms,$1.88,2024-06-27,$0.46,0.49%,28.80,1.11,190,58.95%,40%,20%,1099,$356.95,$387.46,$383.09,$385.19,59.92,A-,A,A,A,C+,B-,B+,6.75,59.28%,58.49%,35.0,6.12%,11.02%
IWF,iShares Russell 1000 Growth ETF,"$98,965,100",23.97%,"1,323,425",$374.92,-0.00%,2.79%,3.31%,42.83%,10.05%,19.54%,"-$1,901,105,132.55","$112,863,156.60","$291,576,086.40","$821,939,946.60","$889,838,773.85","-$4,549,867,361.15",Large Cap Growth Equities,2000-05-22,0.19%,TD Ameritrade,$2.13,2024-06-11,$0.41,0.57%,26.10,1.08,396,59.66%,40%,20%,1099,$346.74,$379.31,$373.94,$376.07,60.06,A-,A,B+,A,C+,B-,A-,6.78,63.52%,59.69%,28.88,8.35%,9.75%
VIG,Vanguard Dividend Appreciation ETF,"$86,000,300",16.71%,"718,269",$197.07,-0.47%,0.65%,1.83%,28.59%,9.54%,12.66%,"-$131,793,832.32","$60,778,378.94","$115,109,479.91","$1,524,189,341.06","$6,124,827,381.04","$15,820,749,758.91",Large Cap Growth Equities,2006-04-21,0.06%,3 Platforms,$3.36,2024-06-28,$0.90,1.69%,21.50,0.85,340,30.01%,40%,20%,1099,$190.68,$199.31,$196.38,$198.05,61.09,A,A,A,A-,A,A-,B,6.77,55.89%,59.44%,94.05,5.11%,1.87%
ITOT,iShares Core S&P Total U.S. Stock Market ETF,"$61,664,300",19.15%,"1,304,045",$124.69,-0.69%,1.32%,1.91%,34.39%,8.51%,14.95%,"$2,563,452,746.95","$12,551,259.50","-$236,033,874.80","$3,584,235,403.50","$7,257,990,220.95","$14,103,423,365.95",Large Cap Growth Equities,2004-01-20,0.03%,Fidelity,$1.56,2024-06-11,$0.34,1.24%,18.56,1.02,2523,30.42%,40%,20%,1099,$118.42,$126.48,$124.39,$125.12,59.12,A,A,A,B-,B,B+,A,6.58,25.84%,50.81%,96.69,9.77%,7.13%
IVW,iShares S&P 500 Growth ETF,"$53,261,300",27.43%,"2,513,060",$95.53,0.00%,2.92%,3.19%,41.03%,8.13%,17.31%,"$5,905,578,784.30","$114,223,488.30","-$998,144,158.05","$5,716,851,666.30","$7,108,401,658.80","$3,951,002,728.80",Large Cap Growth Equities,2000-05-22,0.18%,Fidelity,$0.59,2024-06-11,$0.07,0.62%,20.79,1.05,234,60.59%,40%,20%,1099,$88.34,$96.58,$95.25,$95.84,60.22,A,A,B+,A,C+,A,B+,6.81,69.04%,61.40%,43.57,6.95%,10.38%
QUAL,iShares MSCI USA Quality Factor ETF,"$49,613,600",21.69%,"957,715",$178.28,-0.45%,1.08%,1.07%,37.43%,10.56%,15.73%,"$5,348,535,469.35","$53,569,206.15","$89,853,765.35","$6,531,359,166.40","$14,070,934,360.60","$18,439,302,765.60",Large Cap Growth Equities,2013-07-18,0.15%,N/A,$1.78,2024-06-11,$0.34,0.99%,17.62,1.03,126,40.30%,40%,20%,1099,$171.19,$180.66,$177.83,$178.78,58.14,A-,A,A-,B+,B,B+,B-,7.08,88.90%,73.23%,48.04,1.83%,6.96%
SCHX,Schwab U.S. Large-Cap ETF,"$46,229,200",20.28%,"1,417,129",$67.41,-0.55%,1.52%,2.15%,35.27%,9.27%,15.53%,"$1,941,777,000.00","$128,386,500.00","$548,235,000.00","$2,560,863,000.00","$4,140,326,000.00","$8,238,139,500.00",Large Cap Growth Equities,2009-11-03,0.03%,Charles Schwab,$0.82,2024-06-26,$0.21,1.21%,18.90,1.01,752,32.42%,40%,20%,1099,$63.96,$68.22,$67.24,$67.61,59.87,A,A,A,B,B,A-,A,6.66,38.33%,54.12%,95.26,10.44%,7.28%
VT,Vanguard Total World Stock ETF,"$40,694,300",16.62%,"1,203,242",$118.49,-0.50%,1.90%,2.05%,30.32%,6.38%,11.90%,"$3,479,300,991.66","$451,920,471.78","$568,205,583.51","$4,213,439,625.57","$10,934,886,279.23","$17,637,566,781.83",Large Cap Growth Equities,2008-06-24,0.07%,2 Platforms,$2.22,2024-09-20,$0.42,1.86%,15.40,0.94,9890,18.59%,40%,20%,1099,$112.53,$119.55,$118.22,$118.94,60.45,A,A,A,C+,A-,A-,A+,6.75,21.50%,58.74%,131.67,9.27%,7.19%
