Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
XLP,Consumer Staples Select Sector SPDR Fund,Equity,"$17,814,300,000",17.12%,"10,439,898",$82.68,-0.25%,No,False,-0.03%,1.56%,22.53%,8.20%,9.20%,"$410,257,632.30","-$380,362,438.65","$723,095,716.45","-$1,338,497,971.30","$3,748,854,347.75","$394,218,126.80",Consumer Staples Equities,1998-12-16,0.09%,N/A,$2.11,2024-09-23,$0.44,2.55%,19.94,0.58,39,61.79%,40%,20%,1099,$81.65,$83.75,$82.41,$83.11,58.32,A+,A,B,A-,A,B+,6.87,59.38%,63.53%,38.85,11.03%,3.06%
VDC,Vanguard Consumer Staples ETF,Equity,"$7,276,200,000",16.09%,"91,378",$219.10,-0.06%,No,False,0.09%,1.28%,21.73%,8.60%,9.76%,"-$68,719,779.57","$1,888,202.90","-$25,091,596.56","-$500,325,284.35","$314,303,267.35","-$97,522,592.88",Consumer Staples Equities,2004-01-26,0.10%,Vanguard,$5.22,2024-06-28,$1.54,2.38%,23.90,0.60,106,64.81%,40%,20%,1099,$216.51,$221.18,$218.55,$219.85,59.03,A-,A,B+,A+,A,A-,6.73,51.04%,57.43%,43.94,11.97%,4.74%
IEV,iShares Europe ETF,Equity,"$1,763,360,000",11.55%,"259,814",$57.70,-0.40%,No,False,1.07%,-0.40%,25.12%,5.58%,8.88%,"-$75,530,545.00",$0.00,$0.00,"-$156,500,760.00","-$438,708,020.00","-$243,849,500.00",Europe Equities,2000-07-25,0.61%,Fidelity,$1.59,2024-06-11,$1.24,2.75%,13.67,0.92,363,22.14%,40%,20%,1099,$55.89,$58.49,$57.52,$57.99,56.14,A-,C+,B+,A-,B,A,7.91,42.68%,95.61%,82.94,12.10%,10.27%
IYK,iShares U.S. Consumer Staples ETF,Equity,"$1,372,050,000",10.36%,"122,585",$69.80,-1.02%,No,False,-1.69%,-0.30%,12.32%,6.64%,13.14%,"-$25,225,398.35","-$35,272,314.70","$61,427,031.90","-$223,115,572.25","$577,194,491.50","$549,725,166.50",Consumer Staples Equities,2000-06-12,0.40%,N/A,$3.00,2024-06-11,$0.40,4.25%,22.04,0.74,57,65.40%,40%,20%,1099,$69.87,$72.29,$69.62,$70.13,48.16,B+,B,B+,B+,A-,B-,7.02,64.58%,70.77%,44.49,16.76%,3.89%
FSTA,Fidelity MSCI Consumer Staples Index ETF,Equity,"$1,189,200,000",16.06%,"72,468",$50.91,-0.10%,No,False,0.06%,1.31%,21.76%,8.55%,9.75%,"-$18,680,035.00","$7,648,735.00","$15,312,530.00","-$85,528,085.00","$210,611,655.00","$264,677,915.00",Consumer Staples Equities,2013-10-21,0.08%,Fidelity,$1.21,2024-09-20,$0.27,2.37%,23.70,0.60,105,64.66%,40%,20%,1099,$50.30,$51.38,$50.76,$51.10,59.07,N/A,A+,N/A,N/A,A,N/A,6.73,50.00%,57.40%,44.23,11.90%,4.74%
KXI,iShares Global Consumer Staples ETF,Equity,"$747,028,000",11.39%,"84,642",$65.34,-0.12%,No,False,0.18%,1.00%,17.22%,4.70%,6.18%,"-$205,988,065.00",$0.00,"$6,563,550.00","-$729,861,020.00","$109,060,425.00","-$182,289,380.00",Consumer Staples Equities,2006-09-12,0.41%,N/A,$1.82,2024-06-11,$0.66,2.77%,21.82,0.58,101,49.14%,40%,20%,1099,$64.75,$66.06,$65.24,$65.54,58.55,B+,B,B,A,A+,A,7.22,73.96%,78.62%,37.92,18.09%,3.97%
FXG,First Trust Consumer Staples AlphaDEX Fund,Equity,"$413,415,000",7.65%,"20,989",$67.47,-0.43%,No,False,-0.93%,-0.68%,12.09%,7.71%,8.78%,"-$67,799,850.00",$0.00,"-$3,400,000.00","-$266,356,200.00","$113,642,650.00","-$21,834,500.00",Consumer Staples Equities,2007-05-08,0.63%,N/A,$0.95,2024-06-27,$0.34,1.39%,15.22,0.66,41,39.33%,40%,20%,1099,$67.10,$69.09,$67.29,$67.79,50.51,A,C+,A+,B+,A-,B-,7.36,79.17%,83.10%,94.83,12.83%,14.01%
RSPS,Invesco S&P 500 Equal Weight Consumer Staples ETF,Equity,"$364,547,000",3.08%,"45,966",$31.94,-0.59%,No,False,-1.81%,-1.35%,7.90%,2.98%,5.16%,"-$194,907,570.00","-$5,203,840.00","-$9,738,830.00","-$246,888,080.00","-$75,134,300.00","-$135,717,130.00",Consumer Staples Equities,2006-11-01,0.40%,N/A,$0.92,2024-06-24,$0.22,2.85%,N/A,N/A,39,26.96%,40%,20%,1099,$31.92,$32.80,$31.86,$32.09,48.07,A,A-,B-,B+,A-,N/A,7.3,77.08%,81.34%,52.96,13.29%,9.56%
PBJ,Invesco Food & Beverage ETF,Equity,"$118,844,000",5.15%,"12,365",$47.86,-0.52%,No,False,0.17%,1.81%,13.94%,6.30%,8.01%,"-$30,683,160.00",$0.00,"-$471,590.00","-$111,964,190.00","$21,043,360.00","$30,547,690.00",Consumer Staples Equities,2005-06-23,0.62%,N/A,$0.56,2024-09-23,$0.12,1.17%,17.41,0.63,31,46.12%,40%,20%,1099,$46.58,$48.36,$47.70,$48.09,59.12,A-,C+,A,B,C+,B-,6.13,41.67%,39.21%,68.39,16.09%,7.78%
PSL,Invesco Dorsey Wright Consumer Staples Momentum ETF,Equity,"$90,648,300",11.37%,"2,520",$101.47,-0.39%,No,False,0.82%,1.03%,22.16%,5.60%,8.30%,"-$1,769,530.00",$0.00,"$2,995,350.00","-$10,194,850.00","-$24,460,790.00","-$99,670,890.00",Consumer Staples Equities,2006-10-12,0.60%,N/A,$0.82,2024-09-23,$0.10,0.80%,19.54,0.73,32,39.80%,40%,20%,1099,$97.99,$102.48,$101.22,$101.95,58.92,B-,B-,A-,A-,B-,B+,6.41,42.71%,45.49%,52.97,4.34%,17.62%
