Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
XLY,Consumer Discretionary Select Sector SPDR Fund,Equity,"$19,365,200,000",12.39%,"2,974,245",$199.69,-0.36%,No,False,3.81%,6.51%,26.64%,3.46%,11.79%,"-$2,267,170,767.40","-$30,068,220.90","-$746,875,421.10","-$2,201,215,045.70","-$1,758,487,640.85","-$2,106,995,032.65",Consumer Discretionary Equities,1998-12-16,0.09%,N/A,$1.50,2024-09-23,$0.40,0.75%,24.20,1.18,52,69.21%,40%,20%,1099,$179.12,$201.03,N/A,N/A,65.57,A+,A,A,B,A-,B+,5.98,41.41%,36.41%,54.01,23.79%,0.64%
XLC,Communication Services Select Sector SPDR Fund,Equity,"$18,368,500,000",23.47%,"4,392,072",$88.97,-0.31%,No,False,1.74%,1.99%,38.26%,3.57%,13.35%,"-$1,542,503,700.90","-$75,341,774.15","-$320,444,278.55","$91,813,625.10","$709,156,188.80","$4,628,401,498.85",Large Cap Growth Equities,2018-06-18,0.09%,N/A,$0.88,2024-09-23,$0.27,0.99%,15.99,1.02,23,72.15%,40%,20%,1099,$83.03,$90.09,$88.74,$89.39,61.87,A,A-,A-,B-,B-,N/A,4.65,29.17%,18.02%,12.79,0.00%,0.14%
VCR,Vanguard Consumer Discretionary ETF,Equity,"$5,913,580,000",12.15%,"52,512",$340.14,-0.53%,No,False,3.18%,5.47%,28.83%,2.80%,15.06%,"-$6,217,693.67","$27,060,800.00","$1,880,568.00","-$114,869,611.97","-$792,089,393.51","$499,611,601.04",Consumer Discretionary Equities,2004-01-26,0.10%,Vanguard,$2.61,2024-06-28,$0.67,0.76%,20.90,1.27,304,56.76%,40%,20%,1099,$306.58,$343.68,N/A,N/A,64.12,A,A,A-,B,A,A+,6.03,43.94%,37.23%,50.55,24.83%,1.97%
TSLL,Direxion Daily TSLA Bull 2X Shares,Equity,"$2,243,830,000",-4.41%,"51,771,872",$13.37,2.06%,No,2x,26.66%,31.23%,-5.46%,N/A,N/A,"$826,168,500.00","-$37,948,275.00","$24,389,825.00","$874,483,600.00","$1,678,944,500.00","$1,678,944,500.00",Leveraged Equities,2022-08-09,0.96%,N/A,$0.64,2024-09-24,$0.08,4.78%,0.00,-5.14,3,100.00%,40%,20%,1099,$8.30,$13.05,N/A,N/A,61.89,N/A,C,N/A,N/A,N/A,N/A,5.46,14.79%,28.15%,6.77,0.00%,0.00%
FDIS,Fidelity MSCI Consumer Discretionary Index ETF,Equity,"$1,780,770,000",12.41%,"114,868",$88.20,-0.45%,No,False,3.29%,5.55%,29.13%,2.90%,15.16%,"$196,685,155.00","$8,745,720.00","$4,772,740.00","$272,062,420.00","$83,187,485.00","$390,294,545.00",Consumer Discretionary Equities,2013-10-21,0.08%,Fidelity,$0.65,2024-09-20,$0.16,0.74%,20.76,1.25,275,58.17%,40%,20%,1099,$79.44,$89.04,N/A,N/A,64.68,A-,A+,A-,B,B+,N/A,6.03,44.44%,37.25%,50.67,24.85%,1.96%
FXD,First Trust Consumer Discretionary AlphaDEX Fund,Equity,"$1,520,300,000",6.82%,"51,766",$62.81,-0.87%,No,False,0.96%,0.75%,26.49%,1.53%,9.31%,"-$17,136,350.00",$0.00,"$3,069,050.00","-$135,269,900.00","-$499,136,050.00","$581,073,100.00",Consumer Discretionary Equities,2007-05-08,0.61%,N/A,$0.40,2024-06-27,$0.10,0.64%,11.06,1.30,121,16.84%,40%,20%,1099,$59.00,$63.85,$62.66,$63.09,58.89,A,B-,B+,A,B-,A-,6.34,57.58%,43.70%,93.62,5.55%,1.50%
IYC, iShares U.S. Consumer Discretionary ETF,Equity,"$1,111,870,000",16.30%,"147,815",$87.88,-0.49%,No,False,2.86%,4.67%,33.41%,3.91%,10.81%,"$69,594,125.90","$65,142,250.50","-$33,974,126.65","$122,566,136.15","-$270,587,722.90","-$315,481,332.90",Large Cap Growth Equities,2000-06-12,0.39%,N/A,$0.51,2024-06-11,$0.10,0.58%,22.51,1.13,177,51.66%,40%,20%,1099,$80.43,$88.50,N/A,N/A,65.73,A-,B,C+,C+,A-,B,6.01,42.93%,36.86%,52.7,15.89%,0.60%
INCO,Columbia India Consumer ETF,Equity,"$482,688,000",31.66%,"61,626",$77.39,-0.51%,No,False,2.38%,4.19%,50.38%,17.62%,17.88%,"$249,923,950.00","$3,787,500.00","$26,243,500.00","$263,920,600.00","$289,780,800.00","$252,508,700.00",Asia Pacific Equities,2011-08-10,0.75%,N/A,$2.24,2023-12-18,$2.24,2.90%,35.18,0.55,33,50.60%,40%,20%,1099,$72.46,$78.24,$77.27,$77.57,66.30,B-,C+,B-,B-,C,C+,5.45,65.69%,27.93%,66.02,6.82%,10.55%
XRT,SPDR S&P Retail ETF,Equity,"$370,304,000",6.57%,"4,358,421",$76.42,-0.92%,No,False,0.30%,-1.92%,31.26%,-5.24%,14.61%,"-$147,062,210.75","-$76,635,242.20","-$22,775,503.55","-$107,457,580.60","-$574,609,987.05","-$119,660,306.15",Consumer Discretionary Equities,2006-06-19,0.35%,N/A,$0.97,2024-09-23,$0.12,1.26%,10.87,1.31,79,14.81%,40%,20%,1099,$71.60,$78.60,$76.06,$77.03,53.68,A,A-,B-,C+,A-,B+,6.82,77.27%,61.84%,19.82,2.69%,1.68%
RSPD,Invesco S&P 500 Equal Weight Consumer Discretionary ETF,Equity,"$276,914,000",8.13%,"76,442",$51.06,-0.84%,No,False,1.70%,3.10%,24.30%,1.81%,9.37%,"-$174,592,290.00","-$507,430.00","-$3,444,480.00","-$252,993,910.00","-$439,824,062.63","$53,980,637.37",Consumer Discretionary Equities,2006-11-01,0.40%,N/A,$0.45,2024-09-23,$0.11,0.88%,N/A,N/A,52,20.80%,40%,20%,1099,$47.42,$51.62,$50.94,$51.19,62.29,A-,A-,B+,C+,B+,N/A,6.19,50.51%,40.59%,99.8,12.42%,1.79%
