Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
XLE,Energy Select Sector SPDR Fund,Equity,"$36,098,600,000",6.51%,"13,767,898",$87.16,-1.96%,No,False,-0.04%,-2.78%,0.27%,24.31%,13.19%,"-$2,052,807,743.85","$409,458,279.90","-$439,732,953.20","-$1,513,371,427.50","-$5,186,955,892.30","$6,870,616,048.55",Energy Equities,1998-12-16,0.09%,N/A,$2.98,2024-09-23,$0.73,3.35%,8.87,1.36,24,74.38%,40%,20%,1099,$83.44,$90.85,$86.45,$88.41,47.68,A+,A,B,A,A-,B,6.62,44.28%,52.55%,304.16,0.00%,0.32%
AMLP,Alerian MLP ETF,Equity,"$8,850,440,000",18.14%,"1,339,560",$47.29,-0.40%,No,False,-0.15%,0.68%,22.74%,22.37%,12.68%,"$660,576,250.00","$7,276,750.00","$40,526,500.00","$834,833,250.00","$1,532,261,750.00","$801,761,750.00",MLPs,2010-08-23,0.85%,N/A,$3.64,2024-08-08,$0.94,7.66%,0.09,1.42,16,96.11%,40%,20%,1099,$46.13,$47.89,$47.12,$47.54,53.66,A+,B-,C+,A-,A-,B+,5.42,11.64%,27.56%,415.25,0.00%,0.11%
VDE,Vanguard Energy ETF,Equity,"$7,937,320,000",6.26%,"360,142",$122.79,-2.00%,No,False,0.02%,-2.83%,-0.16%,23.66%,13.37%,"-$538,769,615.30","-$43,685,500.00","-$338,083,717.66","-$670,280,304.52","-$883,184,929.67","$612,143,496.70",Energy Equities,2004-09-23,0.10%,Vanguard,$3.83,2024-06-28,$0.95,3.06%,7.50,1.39,113,63.88%,40%,20%,1099,$116.94,$128.21,$121.81,$124.53,47.82,A-,A,B,A-,A,A,6.38,26.37%,44.80%,317.51,0.37%,0.30%
XOP,SPDR S&P Oil & Gas Exploration & Production ETF,Equity,"$2,879,150,000",-2.58%,"2,880,863",$131.10,-2.37%,No,False,-0.52%,-5.15%,-7.59%,15.36%,9.94%,"-$760,262,797.70","$27,621,234.55","$189,519,947.50","-$544,778,955.20","-$2,488,064,072.80","-$888,995,764.10",Energy Equities,2006-06-19,0.35%,N/A,$3.47,2024-09-23,$0.90,2.58%,5.59,1.91,57,27.01%,40%,20%,1099,$124.08,$139.41,$129.81,$133.36,44.08,A,A-,B+,C+,C+,A-,6.24,18.41%,41.70%,298.77,0.00%,0.59%
EMLP,First Trust North American Energy Infrastructure Fund,Equity,"$2,766,770,000",25.03%,"159,875",$33.96,0.00%,No,False,1.40%,3.73%,30.17%,16.19%,9.85%,"-$90,064,750.00",$0.00,"-$7,967,150.00","-$200,516,900.00","-$85,050,950.00","-$334,793,800.00",MLPs,2012-06-21,0.96%,N/A,$1.10,2024-06-27,$0.31,3.23%,0.05,0.81,65,48.98%,40%,20%,1099,$32.17,$34.14,$33.85,$34.06,69.85,A,C,C+,C+,A,C+,6.8,44.52%,60.90%,1109.68,17.33%,2.40%
ICLN,iShares Global Clean Energy ETF,Equity,"$2,173,750,000",-6.60%,"2,721,100",$14.45,-1.10%,No,False,-1.10%,0.00%,-0.15%,-12.37%,6.32%,"-$656,171,830.00","$11,618,480.00","-$23,553,300.00","-$901,592,490.00","-$1,799,647,510.00","$3,724,572,570.00",Alternative Energy Equities,2008-06-24,0.41%,N/A,$0.22,2024-06-11,$0.10,1.52%,20.78,1.09,103,54.79%,40%,20%,1099,$13.81,$14.80,$14.39,$14.54,53.74,A+,A,B+,B+,B+,B+,7.21,66.17%,78.47%,193.0,15.04%,49.79%
IXC,iShares Global Energy ETF,Equity,"$2,108,520,000",5.70%,"569,318",$40.46,-1.82%,No,False,0.40%,-3.09%,2.28%,20.72%,10.71%,"-$1,006,698,870.00",$0.00,"-$5,835,810.00","$155,159,265.00","-$89,149,200.00","$430,517,580.00",Energy Equities,2001-11-12,0.41%,N/A,$1.53,2024-06-11,$0.90,3.72%,11.07,1.13,54,60.48%,40%,20%,1099,$38.71,$42.16,$40.18,$40.96,47.97,A-,B+,B-,A,A-,A,6.73,62.69%,57.42%,337.92,2.25%,0.56%
MLPX,Global X MLP & Energy Infrastructure ETF,Equity,"$1,923,040,000",27.80%,"236,575",$54.81,-0.69%,No,False,0.74%,2.70%,36.79%,21.98%,15.86%,"$648,985,710.65","$24,248,844.10","$29,303,147.42","$636,056,928.78","$708,096,649.95","$858,398,897.93",MLPs,2013-08-07,0.45%,2 Platforms,$2.50,2024-08-07,$0.65,4.54%,11.58,1.30,25,67.34%,40%,20%,1099,$52.52,$55.32,$54.59,$55.14,59.98,N/A,A+,N/A,N/A,B,N/A,7.53,93.84%,88.08%,791.43,8.43%,0.00%
OIH,VanEck Oil Services ETF,Equity,"$1,703,860,000",-7.98%,"553,858",$284.81,-3.10%,No,False,0.39%,-5.87%,-16.77%,15.66%,4.45%,"-$443,307,030.00","-$29,184,210.00","-$35,051,010.00","-$587,075,485.00","-$1,733,461,035.00","$341,739,116.90",Energy Equities,2001-02-07,0.35%,N/A,$4.22,2023-12-18,$4.22,1.44%,18.88,1.99,26,71.88%,40%,20%,1099,$264.65,$303.16,$281.34,$290.55,45.06,A,A,B+,B,B+,C,5.82,12.94%,33.08%,165.26,2.37%,0.62%
FENY,Fidelity MSCI Energy Index ETF,Equity,"$1,635,130,000",6.26%,"660,066",$23.93,-2.09%,No,False,-0.03%,-2.85%,-0.10%,23.66%,13.25%,"$71,404,880.00","-$17,055,840.00","-$154,107,490.00","-$8,441,030.00","$64,299,440.00","$452,930,485.00",Energy Equities,2013-10-21,0.08%,Fidelity,$0.76,2024-09-20,$0.21,3.13%,7.43,1.39,110,63.88%,40%,20%,1099,$22.81,$24.98,$23.74,$24.28,47.74,B+,A+,N/A,A,B+,N/A,6.39,26.87%,45.01%,315.91,0.37%,0.31%
MLPA,Global X MLP ETF,Equity,"$1,581,580,000",15.13%,"103,257",$48.16,-0.41%,No,False,0.00%,1.35%,17.37%,20.36%,11.17%,"$33,572,189.89","$5,387,550.39","$11,695,351.85","$65,381,575.71","$201,620,438.47","$582,954,510.09",MLPs,2012-04-18,0.45%,2 Platforms,$3.54,2024-08-07,$0.90,7.34%,10.11,1.40,21,88.59%,40%,20%,1099,$46.88,$48.64,$47.97,$48.38,54.66,B,A,B-,A,A,A,5.53,12.33%,29.06%,433.6,0.00%,0.15%
IYE,iShares U.S. Energy ETF,Equity,"$1,245,460,000",5.58%,"244,545",$46.01,-2.71%,No,False,-0.82%,-3.46%,-0.31%,22.04%,11.79%,"-$93,834,861.00","$52,906.95","-$13,734,340.45","-$99,038,420.95","-$2,314,723,521.65","-$787,627,746.65",Energy Equities,2000-06-12,0.39%,N/A,$1.29,2024-06-11,$0.30,2.72%,7.20,1.37,45,67.61%,40%,20%,1099,$44.22,$48.30,$45.63,$46.67,46.24,A,B+,B,A-,A-,A-,6.61,42.79%,51.91%,294.36,0.00%,2.24%
TAN,Invesco Solar ETF,Equity,"$1,084,510,000",-23.94%,"1,038,599",$40.58,-2.24%,No,False,-2.10%,-3.77%,-21.50%,-20.40%,5.55%,"-$283,024,160.00","$52,682,240.00","$68,586,400.00","-$44,290,480.00","-$541,393,440.00","$1,205,447,440.00",Alternative Energy Equities,2008-04-15,0.67%,N/A,$0.05,2023-12-18,$0.05,0.12%,19.12,1.36,36,57.86%,40%,20%,1099,$38.46,$42.41,$40.27,$41.13,49.08,A,B-,A+,C,B-,C+,6.61,45.86%,51.93%,255.13,0.00%,71.23%
EIPI,FT Energy Income Partners Enhanced Income ETF,Equity,"$960,018,000",N/A,"103,655",$19.48,-0.41%,No,False,0.72%,1.56%,N/A,N/A,N/A,"-$343,861,470.93","-$6,845,550.00","-$23,123,850.00","-$343,861,470.93","-$343,861,470.93","-$343,861,470.93",Energy Equities,2024-05-06,1.10%,N/A,$0.50,2024-08-21,$0.12,2.54%,N/A,N/A,62,46.56%,40%,20%,1099,$18.85,$19.65,$19.42,$19.57,60.03,N/A,C,N/A,N/A,B,N/A,6.93,82.09%,66.31%,854.06,13.72%,1.16%
AMJB,"Alerian MLP Index ETNs due January 28, 2044",Equity,"$793,764,000",N/A,"113,215",$28.73,-0.73%,No,False,0.07%,-0.28%,N/A,N/A,N/A,"$668,409,950.09",$0.00,$0.00,"$668,409,950.09","$668,409,950.09","$668,409,950.09",MLPs,2024-01-26,0.85%,N/A,$0.00,N/A,N/A,0.00%,N/A,N/A,0,N/A,40%,20%,1099,$27.81,$29.07,$28.62,$28.81,52.76,A,B-,N/A,B-,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
QCLN,First Trust NASDAQ Clean Edge Green Energy Index Fund,Equity,"$670,608,000",-16.75%,"122,475",$34.93,-1.85%,No,False,-0.11%,-2.54%,-16.96%,-17.96%,10.53%,"-$284,382,600.00","-$7,010,600.00","-$13,986,800.00","-$356,342,400.00","-$840,681,350.00","$1,284,292,500.00",Alternative Energy Equities,2007-02-08,0.59%,N/A,$0.28,2024-06-27,$0.18,0.82%,23.63,1.49,54,58.91%,40%,20%,1099,$32.57,$36.38,$34.72,$35.28,51.14,A,A-,A,B-,B-,B+,6.52,42.11%,48.86%,129.35,0.00%,32.53%
IEO,iShares U.S. Oil & Gas Exploration & Production ETF,Equity,"$621,309,000",-0.86%,"76,258",$91.40,-2.90%,No,False,-1.44%,-5.49%,-3.34%,21.43%,15.54%,"-$104,628,440.55","$4,637,692.20","-$13,812,482.90","-$234,788,747.35","$158,756,351.05","$211,249,961.05",Energy Equities,2006-05-01,0.40%,N/A,$2.57,2024-06-11,$0.50,2.73%,5.31,1.62,49,69.42%,40%,20%,1099,$87.50,$97.88,$90.63,$92.82,43.30,B+,A-,A-,B+,C,A-,6.85,77.11%,62.68%,228.12,0.00%,0.42%
TPYP,Tortoise North American Pipeline Fund,Equity,"$617,141,000",26.12%,"59,805",$31.96,-0.06%,No,False,1.27%,3.56%,34.95%,19.07%,11.71%,"-$33,085,775.00","-$1,624,175.00","-$24,906,680.00","-$9,367,910.00","$13,941,610.00","$102,660,400.00",MLPs,2015-06-30,0.40%,N/A,$1.26,2024-06-27,$0.33,3.95%,0.06,1.09,44,58.99%,40%,20%,1099,$30.58,$32.10,$31.83,$32.06,66.75,B,B,N/A,N/A,A,B,7.75,96.58%,92.83%,699.78,7.83%,0.49%
RSPG,Invesco S&P 500 Equal Weight Energy ETF,Equity,"$525,498,000",5.67%,"48,366",$76.51,-1.83%,No,False,0.07%,-3.26%,3.04%,24.31%,14.66%,"-$69,178,620.00","-$11,928,890.00","-$16,541,430.00","-$39,816,020.00","$156,873,020.00","$198,012,240.00",Energy Equities,2006-11-01,0.40%,N/A,$2.07,2024-09-23,$0.54,2.65%,N/A,N/A,23,45.91%,40%,20%,1099,$73.02,$80.09,$75.92,$77.55,47.12,A,A-,C,C,A,N/A,7.22,94.53%,78.59%,331.19,0.00%,0.47%
ATMP,Barclays ETN+ Select MLP ETN,Equity,"$439,644,000",22.58%,"21,177",$26.33,-0.15%,No,False,0.90%,1.16%,26.42%,19.13%,7.19%,"$74,963,911.49","$116,936.55","$463,726.91","$78,554,611.88","$108,378,394.65","$15,645,582.39",MLPs,2013-03-13,0.95%,N/A,$0.00,2019-08-27,$0.33,0.00%,0.00,1.24,22,60.09%,40%,20%,1099,$25.31,$26.46,$26.23,$26.39,58.26,B+,C+,N/A,N/A,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
FXN,First Trust Energy AlphaDEX Fund,Equity,"$431,580,000",-0.70%,"1,812,006",$16.43,-2.14%,No,False,-0.48%,-5.47%,-2.80%,16.62%,13.79%,"-$152,004,400.00","-$5,802,550.00","-$46,393,300.00","-$138,864,650.00","-$30,493,450.00","$177,284,500.00",Energy Equities,2007-05-08,0.62%,N/A,$0.34,2024-06-27,$0.08,2.01%,5.71,1.82,41,38.25%,40%,20%,1099,$15.67,$17.44,$16.29,$16.67,42.97,A-,C+,B+,B-,B-,B+,7.14,91.54%,75.78%,322.96,0.00%,4.89%
AMZA,InfraCap MLP ETF,Equity,"$395,079,000",23.38%,"32,925",$41.08,-0.44%,No,False,0.53%,2.00%,28.70%,26.66%,14.69%,"$2,905,875.00",$0.00,"-$999,325.00","$6,867,575.00","-$35,280,875.00","$30,516,025.00",MLPs,2014-10-01,2.18%,N/A,$3.06,2024-09-20,$0.26,7.43%,0.09,2.00,31,107.06%,40%,20%,1099,$39.27,$41.54,$40.75,$41.39,55.91,N/A,C,N/A,N/A,A+,N/A,5.6,13.70%,29.94%,420.9,0.35%,0.08%
GUSH,Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X Shares,Equity,"$363,900,000",-12.77%,"556,902",$28.00,-4.96%,No,2x,-1.63%,-11.31%,-24.20%,11.89%,-39.46%,"-$128,487,300.00","-$58,600.00","$7,503,700.00","-$147,562,400.00","-$1,051,157,400.00","-$673,906,923.80",Leveraged Equities,2015-05-28,0.97%,N/A,$0.85,2024-09-24,$0.20,2.88%,0.23,4.38,56,54.46%,40%,20%,1099,$25.10,$31.85,$27.46,$29.00,42.81,A-,C,N/A,B-,B,B-,5.93,30.77%,35.48%,275.68,0.00%,0.29%
FCG,First Trust Natural Gas ETF,Equity,"$355,271,000",0.11%,"197,580",$24.00,-2.44%,No,False,-0.50%,-5.21%,-3.64%,18.16%,18.55%,"-$125,110,450.00",$0.00,"-$18,183,850.00","-$154,015,100.00","-$102,138,100.00","$36,929,750.00",Energy Equities,2007-05-08,0.60%,N/A,$0.72,2024-06-27,$0.29,2.91%,4.55,1.96,44,41.49%,40%,20%,1099,$22.74,$25.51,$23.78,$24.40,44.37,A,B-,C+,C,A-,C,6.27,18.91%,42.21%,356.94,0.00%,0.00%
ERX,Direxion Daily Energy Bull 2X Shares,Equity,"$317,296,000",5.63%,"396,877",$58.55,-3.78%,No,2x,-0.38%,-6.36%,-9.13%,36.64%,-16.57%,"-$87,370,550.00","-$3,006,900.00","$5,293,300.00","-$72,192,650.00","-$791,108,250.00","-$503,145,887.89",Leveraged Equities,2008-11-06,0.93%,N/A,$1.70,2024-09-24,$0.40,2.79%,0.13,3.14,23,79.49%,40%,20%,1099,$53.74,$63.80,$57.58,$60.23,46.58,A,B,C,B,A,B+,6.33,43.20%,43.33%,287.19,0.00%,0.19%
UMI,USCF Midstream Energy Income Fund ETF,Equity,"$316,802,000",29.13%,"20,049",$45.51,-0.39%,No,False,1.07%,3.37%,36.23%,22.08%,N/A,"$30,111,810.00","$447,930.00","$4,430,770.00","$33,379,530.00","$118,795,580.00","$169,342,330.00",MLPs,2021-03-24,0.85%,N/A,$1.91,2024-08-28,$0.41,4.20%,0.00,0.72,21,65.67%,40%,20%,1099,$43.44,$45.75,$45.34,$45.68,65.29,A-,C+,A+,B-,A,N/A,7.28,73.97%,80.89%,715.34,4.40%,0.00%
DRLL,Strive U.S. Energy ETF,Equity,"$313,365,000",1.52%,"42,251",$28.09,-2.06%,No,False,-0.28%,-3.80%,-4.16%,N/A,N/A,"-$23,690,952.00","-$1,706,760.00","-$3,366,966.00","-$34,075,677.00","$293,690,877.88","$293,690,877.88",Energy Equities,2022-08-09,0.41%,N/A,$0.84,2024-06-27,$0.20,2.98%,0.00,1.64,41,76.10%,40%,20%,1099,$26.83,$29.50,$27.88,$28.47,45.89,N/A,B,N/A,N/A,N/A,N/A,6.31,20.40%,43.00%,257.31,0.00%,0.27%
PBW,Invesco WilderHill Clean Energy ETF,Equity,"$291,850,000",-34.82%,"285,323",$19.04,-2.16%,No,False,-0.69%,-4.46%,-37.40%,-35.78%,-6.91%,"-$15,025,960.00","-$9,325,510.00","-$17,567,790.00","-$17,025,730.00","-$378,602,910.00","$1,123,766,770.00",Small Cap Growth Equities,2005-03-03,0.65%,N/A,$0.55,2024-09-23,$0.07,2.84%,-9.37,1.60,71,24.77%,40%,20%,1099,$17.82,$19.93,$18.92,$19.27,48.17,A,C+,A-,C+,C+,A-,5.86,35.34%,34.42%,109.01,0.00%,28.42%
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,Equity,"$263,812,000",11.69%,"24,882",$47.91,-0.56%,No,False,1.61%,0.68%,23.18%,3.19%,N/A,"-$199,103,865.00",$0.00,$0.00,"-$257,092,687.50","-$301,178,527.50","-$301,178,527.50",Alternative Energy Equities,2021-04-08,0.20%,N/A,$1.53,2024-06-11,$0.89,3.19%,13.62,0.88,335,16.58%,40%,20%,1099,$46.09,$48.45,$47.59,$48.54,58.55,A-,A,C+,B+,A,N/A,8.13,94.57%,98.13%,53.96,9.55%,9.20%
MLPB,ETRACS Alerian MLP Infrastructure Index ETN Series B,Equity,"$250,938,000",14.53%,"6,249",$24.49,-0.49%,No,False,-0.11%,1.20%,16.27%,16.87%,3.78%,$0.00,$0.00,$0.00,$0.00,"-$49,663,440.00","$157,848,471.25",MLPs,2015-10-08,0.85%,N/A,$0.00,2020-01-10,$0.40,0.00%,0.00,1.35,19,78.55%,40%,20%,1099,$23.77,$24.79,$24.43,$24.55,53.98,N/A,B,N/A,N/A,B,N/A,0.0,N/A,N/A,N/A,N/A,N/A
NLR,VanEck Uranium and Nuclear ETF,Equity,"$234,779,000",17.74%,"56,412",$84.44,0.40%,No,False,13.79%,9.01%,24.20%,19.92%,13.60%,"$82,205,080.00","$4,167,720.00","-$1,260,375.00","$103,692,645.00","$163,951,582.50","$166,636,077.50",Alternative Energy Equities,2007-08-13,0.61%,N/A,$3.26,2023-12-18,$3.26,3.91%,18.71,0.60,27,59.35%,40%,20%,1099,$67.55,$83.11,$83.68,$85.03,66.88,C,B+,C+,A+,A,C,5.82,34.59%,33.18%,420.82,89.84%,1.59%
XES,SPDR S&P Oil & Gas Equipment & Services ETF,Equity,"$217,300,000",-2.45%,"45,982",$81.72,-3.51%,No,False,-0.10%,-6.35%,-13.56%,16.63%,2.64%,"-$114,953,725.05",$0.00,"-$8,421,881.75","-$156,065,493.20","$23,196,935.80","$64,299,650.90",Energy Equities,2006-06-19,0.35%,N/A,$0.95,2024-09-23,$0.31,1.12%,9.31,2.00,31,47.98%,40%,20%,1099,$75.63,$87.91,$80.75,$83.50,45.00,A-,A-,A,C+,B,B,5.1,7.46%,23.81%,254.41,3.59%,0.46%
FAN,First Trust Global Wind Energy ETF,Equity,"$195,777,000",9.44%,"39,078",$17.87,-0.89%,No,False,1.43%,4.81%,24.76%,-4.46%,7.66%,"-$37,649,000.00",$0.00,"-$6,812,100.00","-$50,379,350.00","-$129,043,550.00","$117,434,050.00",Alternative Energy Equities,2008-06-16,0.60%,N/A,$0.27,2024-06-27,$0.13,1.51%,17.90,0.88,55,48.37%,40%,20%,1099,$16.31,$18.21,$17.78,$18.03,63.02,A-,B+,B-,A-,A-,A-,7.47,77.44%,86.55%,375.25,19.28%,46.75%
ACES,ALPS Clean Energy ETF,Equity,"$189,682,000",-20.17%,"78,380",$28.49,-1.96%,No,False,-0.93%,-3.34%,-23.22%,-24.10%,-0.82%,"-$52,074,000.00","-$8,638,000.00","-$16,508,500.00","-$112,005,750.00","-$269,673,500.00","$422,674,500.00",Alternative Energy Equities,2018-06-29,0.55%,N/A,$0.35,2024-09-19,$0.10,1.21%,0.05,1.36,39,50.86%,40%,20%,1099,$26.66,$29.81,$28.32,$28.81,50.05,B+,A,A-,B,B,N/A,7.07,60.90%,72.84%,146.72,0.00%,43.96%
ENFR,Alerian Energy Infrastructure ETF,Equity,"$186,746,000",29.07%,"33,431",$28.60,-0.14%,No,False,1.31%,3.22%,37.09%,20.74%,13.52%,"$22,750,250.00",$0.00,"$7,648,250.00","$27,290,250.00","$79,229,000.00","$82,801,000.00",MLPs,2013-11-01,0.35%,Charles Schwab,$1.35,2024-08-08,$0.34,4.71%,0.07,1.31,28,60.21%,40%,20%,1099,$27.33,$28.71,$28.48,$28.71,64.15,N/A,A,N/A,N/A,N/A,N/A,7.21,69.86%,78.36%,739.75,5.38%,0.00%
ERTH,Invesco MSCI Sustainable Future ETF,Equity,"$176,940,000",-6.24%,"15,905",$43.92,-1.19%,No,False,1.86%,2.55%,1.65%,-11.02%,3.30%,"-$37,436,050.00",$0.00,"-$6,260,250.00","-$61,200,800.00","-$88,700,450.00","$38,384,850.00",Alternative Energy Equities,2006-10-24,0.67%,N/A,$0.51,2024-09-23,$0.14,1.15%,36.44,1.15,142,41.80%,40%,20%,1099,$40.31,$44.58,$43.80,$44.14,59.31,B-,A-,B,A-,A+,N/A,7.12,79.07%,74.83%,160.8,0.17%,69.38%
CNRG,SPDR S&P Kensho Clean Power ETF,Equity,"$176,662,000",-10.31%,"11,948",$63.61,-1.82%,No,False,-0.49%,1.73%,-5.49%,-11.12%,11.11%,"-$55,768,801.01",$0.00,"-$4,909,682.89","-$70,114,425.97","-$51,567,378.63","$314,104,658.35",Alternative Energy Equities,2018-10-22,0.45%,N/A,$1.06,2024-09-23,$0.26,1.66%,15.92,1.22,44,35.41%,40%,20%,1099,$57.57,$65.89,$63.25,$64.32,55.16,B,A+,A,C+,B+,N/A,6.64,47.37%,53.30%,561.39,8.08%,33.99%
FTXN,First Trust Nasdaq Oil & Gas ETF,Equity,"$175,785,000",4.32%,"55,060",$29.20,-1.98%,No,False,-0.44%,-4.04%,0.15%,20.29%,14.90%,"-$64,884,750.00","-$2,937,350.00","-$10,330,600.00","-$77,613,100.00","-$139,409,982.50","-$117,749,916.00",Energy Equities,2016-09-20,0.60%,N/A,$0.74,2024-06-27,$0.20,2.53%,4.34,1.44,44,55.42%,40%,20%,1099,$27.99,$30.73,$28.99,$29.58,45.57,N/A,C+,N/A,N/A,N/A,N/A,6.71,61.19%,56.53%,359.98,0.00%,0.32%
NETZ,TCW Transform Systems ETF,Equity,"$151,080,000",31.21%,"11,492",$74.15,0.12%,No,False,4.92%,6.71%,47.45%,N/A,N/A,"-$19,224,682.30",$0.00,$0.00,"-$28,499,987.90","$100,272,967.76","$100,272,967.76",Alternative Energy Equities,2022-02-02,0.75%,N/A,$0.44,2024-09-23,$0.06,0.59%,0.00,1.19,24,66.74%,40%,20%,1099,$65.10,$74.64,$74.08,$74.25,68.14,B+,B-,B-,B-,B+,N/A,6.6,28.94%,51.74%,635.07,27.76%,5.12%
SMOG,VanEck Low Carbon Energy ETF,Equity,"$147,677,000",-1.04%,"1,962",$109.49,-0.91%,No,False,2.21%,5.84%,5.71%,-9.70%,11.87%,"-$14,857,420.00",$0.00,$0.00,"-$24,656,580.00","-$61,605,125.00","$13,962,030.00",Alternative Energy Equities,2007-05-03,0.61%,N/A,$1.75,2023-12-18,$1.75,1.60%,20.41,1.26,63,55.83%,40%,20%,1099,$99.40,$110.65,N/A,N/A,62.11,C+,C+,A,B-,C,N/A,7.53,80.08%,87.97%,358.38,23.85%,34.07%
IEZ,iShares U.S. Oil Equipment & Services ETF,Equity,"$143,360,000",-7.08%,"143,255",$20.21,-3.49%,No,False,0.15%,-5.87%,-15.69%,16.06%,3.48%,"-$151,076,525.85","-$1,038,852.35","-$8,176,715.30","-$135,939,443.05","$47,809,331.95","$83,346,791.95",Energy Equities,2006-05-01,0.40%,N/A,$0.31,2024-06-11,$0.09,1.50%,20.96,1.95,31,74.32%,40%,20%,1099,$18.81,$21.59,$19.99,$20.59,45.03,B+,B+,A-,B,B,B+,6.22,17.41%,41.13%,174.14,1.98%,0.44%
