Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
XLV,Health Care Select Sector SPDR Fund,Equity,"$41,925,200,000",13.15%,"6,958,215",$152.59,-0.97%,No,False,-1.42%,-1.48%,19.46%,6.61%,12.94%,"-$550,059,052.95","$138,173,027.90","$423,897,837.40","-$3,240,338,892.45","$3,820,469,268.65","$10,362,174,164.45",Health & Biotech Equities,1998-12-16,0.09%,N/A,$2.27,2024-09-23,$0.58,1.47%,16.67,0.70,63,57.12%,40%,20%,1099,$153.13,$156.94,$151.82,$154.07,48.33,A,A,C+,A,A,B+,6.65,56.90%,53.79%,12.15,0.00%,7.08%
VHT,Vanguard Health Care ETF,Equity,"$18,661,900,000",12.67%,"155,123",$280.59,-0.99%,No,False,-1.49%,-1.69%,19.82%,4.35%,12.05%,"-$149,903,091.94","-$21,239,948.53","-$41,328,915.29","-$798,083,299.94","$392,798,458.83","$3,136,982,185.17",Health & Biotech Equities,2004-01-26,0.10%,Vanguard,$3.56,2024-06-28,$0.97,1.26%,22.00,0.73,415,47.91%,40%,20%,1099,$281.45,$288.48,$279.27,$283.10,48.48,A,A,B-,A,A,A+,6.56,49.72%,50.15%,14.72,0.02%,8.68%
XBI,SPDR S&P Biotech ETF,Equity,"$7,715,620,000",9.62%,"7,664,655",$97.75,-0.97%,No,False,-3.02%,-3.69%,33.72%,-9.10%,4.23%,"$95,154,170.24","$147,122,635.87","-$150,042,685.46","$100,435,674.55","$1,936,352,947.20","$3,234,448,693.16",Health & Biotech Equities,2006-01-31,0.35%,N/A,$0.14,2024-09-23,$0.02,0.15%,17.88,0.97,144,25.58%,40%,20%,1099,$96.55,$102.92,$97.21,$98.75,47.00,A+,A,A-,C+,B-,B+,5.46,22.31%,28.17%,37.28,0.00%,25.91%
IBB,iShares Biotechnology ETF,Equity,"$7,610,320,000",5.12%,"1,241,758",$142.68,-1.65%,No,False,-3.28%,-3.56%,16.65%,-5.53%,7.11%,"-$327,025,218.50","$86,177,336.35","-$15,396,841.25","-$649,777,239.75","-$1,532,440,589.25","-$1,752,585,069.25",Health & Biotech Equities,2001-02-05,0.45%,N/A,$0.40,2024-03-21,$0.13,0.28%,15.68,0.84,211,49.61%,40%,20%,1099,$142.64,$150.14,$141.61,$144.50,43.88,A,B,B-,B,B,A,6.81,68.62%,61.28%,22.2,0.00%,28.44%
IHI,iShares U.S. Medical Devices ETF,Equity,"$4,991,410,000",8.57%,"657,537",$58.51,-0.90%,No,False,-0.54%,0.52%,21.61%,-3.57%,7.60%,"-$854,743,199.55","-$32,562,009.20","-$123,699,874.40","-$1,125,446,773.15","-$2,507,682,536.40","-$1,627,613,828.31",Health & Biotech Equities,2006-05-01,0.40%,N/A,$0.30,2024-06-11,$0.05,0.50%,34.19,0.85,50,73.29%,40%,20%,1099,$58.02,$59.83,$58.25,$59.01,53.05,A,A-,B,B+,B,B-,6.18,38.37%,40.30%,15.05,0.00%,13.72%
IXJ,iShares Global Healthcare ETF,Equity,"$4,296,970,000",13.36%,"138,542",$97.61,-0.70%,No,False,-1.42%,-2.66%,19.37%,5.40%,11.18%,"-$249,228,495.00","$4,972,985.00","$54,954,910.00","-$337,351,750.00","$288,622,415.00","$854,662,685.00",Health & Biotech Equities,2001-11-13,0.41%,N/A,$1.23,2024-06-11,$0.67,1.25%,21.81,0.67,114,45.16%,40%,20%,1099,$97.77,$101.11,$97.18,$98.43,46.93,A,B+,C,A+,A,A,7.01,82.99%,70.13%,14.06,0.39%,16.94%
IYH,iShares U.S. Healthcare ETF,Equity,"$3,541,080,000",13.20%,"259,200",$64.50,-1.35%,No,False,-1.65%,-1.83%,19.21%,5.04%,12.26%,"-$47,317,581.65","-$98,105,745.10","$23,860,957.80","-$166,301,532.65","$87,073,870.50","$149,958,040.50",Health & Biotech Equities,2000-06-12,0.39%,N/A,$1.64,2024-06-11,$0.13,2.51%,21.73,0.71,109,55.39%,40%,20%,1099,$64.91,$66.46,$64.17,$65.10,47.53,B+,B+,C+,A,A-,A,6.58,50.66%,51.10%,13.46,0.00%,8.78%
FHLC,Fidelity MSCI Health Care Index ETF,Equity,"$2,987,500,000",12.55%,"149,497",$72.06,-1.04%,No,False,-1.58%,-1.68%,19.76%,4.33%,12.04%,"-$412,971,685.00","-$3,688,940.00","-$143,980,950.00","-$500,071,990.00","-$266,010,415.00","$366,920,980.00",Health & Biotech Equities,2013-10-21,0.08%,Fidelity,$0.95,2024-09-20,$0.25,1.31%,21.80,0.72,362,50.25%,40%,20%,1099,$72.31,$74.07,$71.72,$72.71,48.42,A,A+,C+,A-,A,N/A,6.55,49.15%,49.93%,14.67,0.03%,8.64%
ARKG,ARK Genomic Revolution ETF,Equity,"$1,316,390,000",-24.29%,"2,293,774",$24.84,-2.05%,No,False,-5.30%,-7.90%,-10.13%,-31.76%,-2.85%,"-$465,622,700.00","$1,918,200.00","-$6,297,050.00","-$287,293,550.00","-$1,968,728,105.00","$5,504,350,795.00",Health & Biotech Equities,2014-10-31,0.75%,N/A,$0.00,2021-12-29,$0.38,0.00%,0.00,1.50,37,54.20%,40%,20%,1099,$24.13,$27.20,$24.57,$25.29,45.55,A,C+,A+,C,A-,N/A,5.53,23.82%,29.09%,29.64,0.00%,14.72%
FXH,First Trust Health Care AlphaDEX Fund,Equity,"$1,280,810,000",7.06%,"20,234",$110.64,-1.04%,No,False,-1.79%,-2.28%,14.12%,-3.86%,8.27%,"-$96,326,600.00",$0.00,$0.00,"-$211,951,400.00","-$182,766,900.00","-$358,516,000.00",Health & Biotech Equities,2007-05-08,0.62%,N/A,$0.38,2024-06-27,$0.11,0.34%,19.53,0.80,78,24.01%,40%,20%,1099,$109.98,$114.42,$110.20,$111.51,48.56,B+,C+,B,B+,C,A-,6.54,48.77%,49.67%,20.42,0.00%,19.21%
