Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
XLI,Industrial Select Sector SPDR Fund,Equity,"$19,751,700,000",18.68%,"8,569,765",$133.97,-0.47%,No,False,1.94%,3.96%,35.02%,11.71%,13.52%,"$1,377,968,089.35","-$415,025,714.35","-$390,989,356.65","$193,646,007.15","-$2,329,432,096.40","$1,637,805,335.15",Industrials Equities,1998-12-16,0.09%,N/A,$1.84,2024-09-23,$0.43,1.37%,18.48,1.11,79,35.64%,40%,20%,1099,$124.96,$135.17,$133.51,$134.79,64.49,A+,A,B,B+,A,B,7.03,75.58%,71.16%,102.69,27.88%,2.62%
ITA,iShares U.S. Aerospace & Defense ETF,Equity,"$6,166,680,000",17.99%,"417,097",$148.74,-0.31%,No,False,2.01%,2.71%,42.20%,13.19%,6.76%,"-$910,774,478.00","$14,939,399.35","-$583,729,464.70","-$738,420,372.00","$1,630,990,792.75","-$357,789,617.25",Industrials Equities,2006-05-01,0.40%,N/A,$1.22,2024-06-11,$0.30,0.82%,26.31,1.02,37,76.69%,40%,20%,1099,$140.25,$150.23,N/A,N/A,62.22,A,B+,A,B,B+,C+,6.33,50.58%,43.45%,31.79,84.60%,0.18%
VIS,Vanguard Industrials ETF,Equity,"$5,565,260,000",17.68%,"69,840",$257.88,-0.53%,No,False,1.84%,3.36%,34.93%,11.53%,13.76%,"$296,343,055.23","$82,380,000.00","-$79,954,200.00","$56,287,157.85","-$916,269,179.45","-$276,533,154.09",Industrials Equities,2004-09-23,0.10%,Vanguard,$3.10,2024-06-28,$0.79,1.20%,19.50,1.14,385,26.79%,40%,20%,1099,$239.33,$261.02,$256.92,$259.53,63.02,A,A,A-,B+,A-,A+,6.87,70.35%,63.62%,101.83,23.37%,3.60%
PPA,Invesco Aerospace & Defense ETF,Equity,"$4,266,780,000",24.14%,"194,315",$113.99,-0.20%,No,False,2.05%,2.32%,45.08%,17.08%,11.83%,"$935,732,410.00","$15,713,600.00","$402,766,280.00","$1,296,973,370.00","$2,449,656,790.00","$2,096,108,640.00",Industrials Equities,2005-10-26,0.58%,N/A,$0.65,2024-09-23,$0.13,0.57%,27.05,0.98,55,53.30%,40%,20%,1099,$108.13,$114.93,N/A,N/A,62.27,A-,B-,A,A,B,B-,6.41,52.91%,45.47%,32.34,78.69%,0.46%
XAR,SPDR S&P Aerospace & Defense ETF,Equity,"$2,341,090,000",15.12%,"71,306",$155.34,-0.17%,No,False,2.04%,1.18%,42.00%,9.59%,8.21%,"$47,203,684.93",$0.00,"$3,759,195.73","$263,165,194.65","$629,850,744.47","$177,447,664.18",Industrials Equities,2011-09-28,0.35%,N/A,$0.88,2024-09-23,$0.21,0.56%,23.24,1.09,34,47.25%,40%,20%,1099,$147.93,$157.12,N/A,N/A,59.35,A,A-,A+,B,B,C+,6.4,52.33%,45.20%,46.09,75.93%,0.54%
PHO,Invesco Water Resources ETF,Equity,"$2,265,330,000",14.32%,"67,912",$69.36,-0.72%,No,False,0.58%,-0.49%,32.05%,7.20%,14.40%,"$25,123,570.00","-$4,788,900.00","-$4,095,270.00","-$35,793,970.00","-$113,113,480.00","$288,088,950.00",Water Equities ,2005-12-06,0.59%,N/A,$0.32,2024-09-23,$0.05,0.46%,22.47,0.96,39,57.79%,40%,20%,1099,$65.92,$70.90,$69.10,$69.81,54.95,A+,A-,A-,A-,B+,B+,7.7,0.00%,91.90%,43.97,0.00%,16.08%
FXR,First Trust Industrials/Producer Durables AlphaDEX Fund,Equity,"$1,990,240,000",15.75%,"65,903",$74.82,-1.02%,No,False,1.33%,2.07%,32.79%,9.02%,13.59%,"-$21,702,100.00",$0.00,"-$3,336,750.00","-$118,857,800.00","-$190,104,350.00","$1,062,714,350.00",Industrials Equities,2007-05-08,0.61%,N/A,$0.54,2024-06-27,$0.17,0.72%,14.70,1.23,138,13.77%,40%,20%,1099,$69.08,$76.47,$74.50,$75.36,59.94,A-,C,A-,B,B,A-,7.05,77.91%,72.04%,103.41,13.14%,4.81%
FIW,First Trust Water ETF,Equity,"$1,858,560,000",13.50%,"38,798",$107.29,-0.75%,No,False,0.50%,0.05%,30.89%,7.21%,14.80%,"$123,061,500.00","$3,272,050.00","$13,732,900.00","$115,067,250.00","$232,824,600.00","$777,276,850.00",Water Equities ,2007-05-08,0.53%,N/A,$0.63,2024-06-27,$0.21,0.59%,27.93,1.01,37,39.82%,40%,20%,1099,$101.63,$109.76,$106.89,$107.98,55.81,A-,A,B+,B+,A-,A-,7.53,0.00%,88.12%,63.07,0.00%,18.14%
AIRR,First Trust RBA American Industrial Renaissance ETF,Equity,"$1,650,240,000",27.86%,"237,858",$73.91,-0.77%,No,False,1.55%,1.50%,44.86%,21.59%,23.05%,"$760,214,000.00","$29,553,400.00","$79,087,800.00","$855,569,700.00","$1,069,505,891.50","$1,196,663,377.00",Building & Construction ,2014-03-10,0.70%,N/A,$0.11,2024-06-27,$0.03,0.14%,17.73,1.25,60,32.28%,40%,20%,1099,$66.13,$76.49,$73.51,$74.46,57.99,B-,C,N/A,C+,C,N/A,5.83,41.28%,33.34%,70.68,0.00%,9.56%
IYJ,iShares U.S. Industrials ETF,Equity,"$1,547,850,000",15.73%,"49,048",$131.81,-0.78%,No,False,0.59%,3.08%,32.36%,6.90%,11.95%,"$83,513,971.20","-$6,656,790.25","-$19,582,368.10","$92,117,504.40","-$284,679,122.65","$83,428,767.35",Industrials Equities,2000-06-12,0.39%,N/A,$1.16,2024-06-11,$0.26,0.87%,20.45,1.12,191,32.75%,40%,20%,1099,$124.71,$134.18,$131.34,$132.59,61.01,B+,B+,B+,A,B,A,7.13,79.65%,75.15%,75.33,18.34%,2.95%
FIDU,Fidelity MSCI Industrial Index ETF,Equity,"$1,159,420,000",17.75%,"86,869",$71.45,-0.45%,No,False,2.02%,3.24%,35.06%,11.68%,14.14%,"$104,491,955.00","$3,514,115.00","-$129,981,655.00","$109,694,805.00","$51,553,950.00","$310,834,975.00",Industrials Equities,2013-10-21,0.08%,Fidelity,$0.89,2024-09-20,$0.22,1.24%,20.13,1.13,368,27.37%,40%,20%,1099,$66.38,$72.30,$71.22,$71.84,62.81,A-,A+,N/A,A-,A-,N/A,6.89,70.93%,64.44%,93.47,23.66%,3.63%
JETS,U.S. Global Jets ETF,Equity,"$1,095,450,000",4.52%,"2,089,089",$19.89,-1.09%,No,False,1.07%,8.39%,18.04%,-6.24%,-7.20%,"-$652,541,000.00","-$9,895,000.00","$10,263,000.00","-$551,781,500.00","-$1,580,021,390.00","$1,164,860,610.00",Industrials Equities,2015-04-28,0.60%,N/A,$0.00,2021-12-23,$0.14,0.00%,17.03,1.38,52,58.18%,40%,20%,1099,$18.03,$20.30,$19.76,$20.15,61.87,B,B-,N/A,B-,C+,C,5.52,38.95%,29.00%,674.04,7.99%,0.01%
