Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
GDX,VanEck Gold Miners ETF,Equity,"$15,961,400,000",33.22%,"18,423,496",$41.31,-0.24%,No,False,5.76%,5.01%,51.35%,13.54%,8.32%,"-$1,183,232,240.00","$108,498,660.00","$442,263,170.00","-$604,621,130.00","-$1,302,119,910.00","-$901,287,123.20",Materials,2006-05-16,0.51%,N/A,$0.50,2023-12-18,$0.50,1.21%,22.43,0.77,60,62.82%,40%,20%,1099,$35.82,$41.84,$41.10,$41.61,62.97,A+,B,B+,B-,B,B-,6.48,40.25%,47.50%,319.11,1.92%,0.00%
GDXJ,VanEck Junior Gold Miners ETF,Equity,"$5,782,600,000",33.29%,"4,598,979",$50.53,-1.15%,No,False,6.20%,5.87%,56.03%,10.22%,5.45%,"-$98,920,225.00","-$12,201,300.00","-$20,604,585.00","$93,571,685.00","$180,997,545.00","$86,715,743.30",Materials,2009-11-11,0.52%,N/A,$0.27,2023-12-18,$0.27,0.54%,18.22,1.06,88,41.76%,40%,20%,1099,$41.59,$51.97,$50.21,$51.06,61.27,A,B,A-,C,C+,B+,5.38,5.66%,27.01%,449.96,5.89%,0.00%
GUNR,FlexShares Morningstar Global Upstream Natural Resources Index Fund,Equity,"$5,560,010,000",1.06%,"477,745",$40.46,-1.22%,No,False,2.12%,0.29%,4.08%,7.43%,8.99%,"-$1,416,455,865.00","-$34,235,365.00","-$99,193,885.00","-$1,741,568,100.00","-$448,567,625.00","-$596,164,565.00",Commodity Producers Equities,2011-09-16,0.46%,N/A,$1.37,2024-09-20,$0.32,3.35%,13.82,0.95,120,36.52%,40%,20%,1099,$38.03,$41.11,$40.26,$40.82,55.52,A,B+,B,A-,B+,A,6.38,25.37%,44.58%,302.41,10.50%,4.79%
XLB,Materials Select Sector SPDR Fund,Equity,"$5,493,550,000",12.63%,"4,191,148",$95.12,-0.67%,No,False,2.37%,3.03%,24.62%,7.66%,12.79%,"-$460,428,861.45","-$34,767,806.75","-$275,267,877.50","-$619,371,006.70","-$2,797,862,968.75","-$799,926,543.30",Materials,1998-12-16,0.09%,N/A,$1.76,2024-09-23,$0.42,1.84%,16.06,1.06,30,61.21%,40%,20%,1099,$89.13,$95.87,$94.64,$95.85,62.06,A+,A,B+,A+,A,B-,6.95,81.33%,67.19%,552.09,3.78%,6.22%
ITB,iShares U.S. Home Construction ETF,Equity,"$3,686,660,000",22.39%,"2,030,955",$124.24,-1.80%,No,False,-1.05%,0.89%,60.28%,22.35%,24.74%,"$624,626,474.85","-$69,260,430.85","$283,768,530.85","$464,772,137.50","$50,124,769.30","$433,797,169.30",Building & Construction ,2006-05-01,0.39%,N/A,$0.49,2024-06-11,$0.09,0.39%,7.60,1.36,46,66.25%,40%,20%,1099,$114.26,$129.27,$123.52,$125.36,58.38,A,A,A-,B+,A-,A-,6.33,56.06%,43.38%,58.95,0.00%,19.64%
URA,Global X Uranium ETF,Equity,"$3,304,800,000",4.38%,"2,998,888",$28.88,0.17%,No,False,14.69%,7.72%,12.69%,12.24%,24.69%,"$841,652,103.54","$48,047,734.39","$85,574,858.62","$1,135,034,098.50","$2,173,486,817.50","$2,686,560,781.47",Commodity Producers Equities,2010-11-04,0.69%,2 Platforms,$1.71,2024-06-27,$0.02,5.97%,22.16,1.09,51,63.95%,40%,20%,1099,$22.65,$28.61,$28.51,$29.16,62.43,A,B,B-,B-,C+,C+,6.37,68.00%,44.52%,921.69,69.12%,1.44%
GNR,SPDR S&P Global Natural Resources ETF,Equity,"$3,234,950,000",1.75%,"178,309",$56.69,-1.06%,No,False,2.35%,0.19%,6.28%,7.43%,9.39%,"-$765,672,261.30","-$35,532,861.38","-$60,564,658.86","-$314,785,012.39","$894,362,598.03","$1,785,696,202.90",Commodity Producers Equities,2010-09-13,0.40%,Charles Schwab,$1.97,2024-06-03,$0.99,3.44%,8.70,1.01,92,35.90%,40%,20%,1099,$52.86,$57.72,$56.41,$57.19,55.86,A-,A-,B,A-,A-,A-,7.03,88.06%,70.95%,307.3,7.03%,4.45%
VAW,Vanguard Materials ETF,Equity,"$3,078,640,000",11.19%,"33,471",$209.60,-0.62%,No,False,2.46%,2.92%,24.46%,7.61%,12.82%,"$42,269,552.08","-$4,167,600.00","-$19,963,600.00","-$335,733,183.35","-$1,037,687,407.21","$119,919,329.30",Materials,2004-01-26,0.10%,Vanguard,$3.25,2024-06-28,$0.82,1.54%,13.50,1.11,120,52.41%,40%,20%,1099,$194.58,$211.78,$208.76,$210.85,61.61,A-,A,A-,A,A-,A,6.87,76.00%,63.92%,551.36,3.39%,5.38%
COPX,Global X Copper Miners ETF,Equity,"$2,656,550,000",23.01%,"1,403,205",$45.97,-1.77%,No,False,9.04%,4.55%,30.89%,12.64%,23.65%,"$760,645,593.91","$66,271,073.34","$244,391,077.47","$761,154,859.56","$1,281,000,037.46","$2,133,566,946.11",Materials,2010-04-19,0.65%,2 Platforms,$0.55,2024-06-27,$0.16,1.20%,12.43,1.43,41,49.05%,40%,20%,1099,$37.57,$46.23,N/A,N/A,61.24,B,C+,A,B,A,B-,5.85,53.33%,33.69%,283.29,4.70%,0.31%
XHB,SPDR S&P Homebuilders ETF,Equity,"$2,438,970,000",27.37%,"2,092,792",$121.35,-1.51%,No,False,-0.14%,1.89%,61.40%,18.39%,24.08%,"$224,781,106.95","$74,377,890.40","$41,807,541.90","$443,467,548.60","$77,683,030.25","$535,585,601.15",Building & Construction ,2006-01-31,0.35%,N/A,$0.63,2024-09-23,$0.13,0.51%,12.20,1.32,36,34.24%,40%,20%,1099,$108.94,$126.13,$120.75,$122.33,59.63,A+,A+,A+,A-,A+,A,6.8,74.24%,60.70%,26.97,0.00%,24.64%
GRID,First Trust Nasdaq Clean Edge Smart GRID Infrastructure Index,Equity,"$1,799,740,000",21.80%,"110,674",$126.73,-0.49%,No,False,2.74%,4.06%,37.52%,10.81%,21.94%,"$749,537,500.00","$37,123,300.00","$84,998,250.00","$475,606,350.00","$1,008,792,850.00","$1,462,371,100.00",Alternative Energy Equities,2009-11-17,0.57%,N/A,$1.25,2024-06-27,$0.64,0.99%,24.89,1.25,103,57.18%,40%,20%,1099,$114.83,$128.19,$126.39,$127.29,63.66,C+,C+,B+,A,A-,B-,8.01,99.30%,96.99%,80.5,6.03%,12.35%
XME,SPDR S&P Metals & Mining ETF,Equity,"$1,773,200,000",5.57%,"2,295,909",$62.84,-0.65%,No,False,7.73%,5.26%,23.96%,16.33%,20.69%,"-$270,907,881.60","$229,356,980.40","$99,504,224.00","-$247,988,277.65","-$495,380,554.20","$414,104,438.30",Materials,2006-06-19,0.35%,N/A,$0.40,2024-09-23,$0.11,0.63%,9.17,1.48,37,47.30%,40%,20%,1099,$52.89,$63.42,N/A,N/A,61.80,A,A,A,B-,B+,B,5.7,46.00%,31.34%,676.67,4.17%,2.27%
URNM,Sprott Uranium Miners ETF,Equity,"$1,598,860,000",-3.50%,"523,748",$46.58,-0.09%,No,False,16.30%,7.53%,2.29%,10.72%,N/A,"-$780,900.00","$17,389,700.00","$30,439,100.00","$297,575,600.00","$809,437,288.91","$1,351,258,547.00",Commodity Producers Equities,2019-12-03,0.75%,N/A,$1.75,2023-12-14,$1.75,3.80%,0.00,1.42,40,76.85%,40%,20%,1099,$36.50,$45.99,$45.86,$47.14,60.43,N/A,C,N/A,N/A,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
SIL,Global X Silver Miners ETF,Equity,"$1,246,880,000",29.94%,"633,135",$36.86,-0.11%,No,False,7.46%,9.02%,54.32%,1.43%,4.62%,"$47,418,471.15","$110,019.09","$14,118,024.51","$12,146,836.10","$181,409,325.65","$731,701,108.06",Materials,2010-04-19,0.65%,2 Platforms,$0.14,2024-06-27,$0.01,0.39%,29.62,0.98,35,74.09%,40%,20%,1099,$29.13,$37.59,$36.52,$37.20,64.08,A-,C+,A,C,C,B,5.54,8.81%,29.29%,218.71,0.00%,0.00%
LIT,Global X Lithium & Battery Tech ETF,Equity,"$1,180,880,000",-23.08%,"317,978",$38.94,-1.34%,No,False,5.79%,3.26%,-26.57%,-21.59%,10.72%,"-$430,707,262.19","-$4,185,259.12","-$21,243,867.80","-$762,872,025.63","-$1,236,758,372.22","$1,346,215,904.89",Commodity Producers Equities,2010-07-22,0.75%,2 Platforms,$0.61,2024-06-27,$0.25,1.56%,12.77,1.18,41,54.41%,40%,20%,1099,$35.04,$39.19,$38.69,$39.38,55.42,A,C+,C,B-,B,B-,5.88,54.00%,34.87%,121.5,0.00%,9.11%
SILJ,Amplify Junior Silver Miners ETF,Equity,"$1,087,410,000",34.50%,"1,845,132",$13.45,-0.15%,No,False,8.21%,7.95%,59.33%,3.99%,4.32%,"$123,956,500.00","$14,017,000.00","$14,017,000.00","$144,562,000.00","$246,113,500.00","$1,014,156,000.00",Materials,2012-11-28,0.69%,N/A,$0.00,2023-12-27,$0.00,0.01%,0.00,1.33,52,55.07%,40%,20%,1099,$10.51,$13.71,$13.30,$13.60,62.86,A-,C,A+,C,C,C+,4.86,1.89%,21.03%,413.98,7.69%,0.00%
PICK,iShares MSCI Global Metals & Mining Producers ETF,Equity,"$935,240,000",-2.82%,"263,103",$41.36,-0.43%,No,False,7.32%,4.89%,10.47%,5.37%,14.32%,"-$245,294,730.00","-$65,437,205.00","-$86,244,060.00","-$468,906,435.00","$77,734,515.00","$731,520,165.00",Materials,2012-01-31,0.39%,Fidelity,$1.53,2024-06-11,$0.50,3.69%,6.34,1.18,250,48.91%,40%,20%,1099,$35.49,$41.32,$41.14,$41.67,62.07,A-,A-,A-,B,A,A,5.9,54.67%,35.16%,590.07,13.67%,0.90%
INFL,Horizon Kinetics Inflation Beneficiaries ETF,Equity,"$862,097,000",21.57%,"95,406",$37.91,-1.20%,No,False,2.35%,1.98%,26.38%,9.87%,N/A,"$37,814,862.50","$5,546,385.00","$7,374,110.00","-$182,909,987.50","$25,969,787.50","$695,765,262.50",Global Equities,2021-01-11,0.85%,N/A,$0.56,2024-06-26,$0.14,1.47%,0.07,0.92,0,N/A,40%,20%,1099,$35.14,$38.38,$37.72,$38.17,64.41,A,C+,B-,B,B,N/A,7.15,56.33%,76.30%,52.23,5.81%,2.04%
MOO,VanEck Agribusiness ETF,Equity,"$671,490,000",-4.00%,"58,105",$73.13,-1.56%,No,False,-0.17%,0.03%,-4.15%,-5.82%,3.99%,"-$209,101,305.00",$0.00,"-$54,180,265.00","-$280,254,570.00","-$79,817,650.00","$98,001,571.45",Large Cap Blend Equities,2007-08-31,0.53%,N/A,$2.24,2023-12-18,$2.24,3.01%,10.55,0.93,49,57.13%,40%,20%,1099,$71.01,$74.68,$72.66,$74.02,53.55,B+,B-,C,C,C+,C+,7.34,86.05%,82.63%,213.91,15.52%,10.43%
NUGT,Direxion Daily Gold Miners Index Bull 2x Shares,Equity,"$605,814,000",55.61%,"1,827,611",$53.54,-0.43%,No,2x,11.47%,8.91%,91.45%,8.57%,-21.68%,"-$221,598,950.00","-$20,275,050.00","-$50,556,000.00","-$242,012,400.00","-$514,826,050.00","-$464,379,488.93",Leveraged Equities,2010-12-08,1.18%,N/A,$0.71,2024-09-24,$0.07,1.32%,0.04,1.98,2,100.00%,40%,20%,1099,$40.61,$54.69,$53.01,$54.29,62.89,A-,C,C,B,C+,B+,6.11,38.46%,38.65%,296.86,0.82%,0.00%
IYM,iShares U.S. Basic Materials ETF,Equity,"$584,992,000",7.99%,"21,428",$148.22,-1.19%,No,False,2.78%,2.53%,20.15%,7.35%,12.03%,"-$141,168,774.65",$0.00,"-$6,991,611.95","-$191,309,047.45","-$430,113,523.15","$1,100,221.85",Materials,2000-06-12,0.39%,N/A,$2.42,2024-06-11,$0.50,1.61%,9.78,1.14,38,65.42%,40%,20%,1099,$137.73,$149.88,$147.57,$149.22,59.43,A,B+,B+,A-,A-,B+,6.55,70.00%,50.01%,630.26,1.31%,3.06%
RING,iShares MSCI Global Gold Miners ETF,Equity,"$581,407,000",40.93%,"194,849",$34.41,-0.09%,No,False,5.68%,5.00%,62.41%,14.00%,9.46%,"-$18,068,585.00",$0.00,"$1,729,765.00","-$12,804,970.00","-$35,646,545.00","$130,841,960.00",Materials,2012-01-31,0.39%,Fidelity,$0.47,2024-06-11,$0.19,1.36%,21.42,0.75,37,72.25%,40%,20%,1099,$29.87,$34.86,$34.23,$34.65,64.03,A,A-,B+,C+,C+,B+,6.28,29.56%,42.47%,381.01,2.60%,0.00%
NANR,SPDR S&P North American Natural Resources ETF,Equity,"$577,303,000",11.62%,"22,905",$56.45,-1.36%,No,False,2.26%,0.27%,9.20%,15.82%,14.65%,"$781,172.00",$0.00,"-$1,321,675.98","-$19,068,144.30","-$33,151,850.77","-$380,543,861.05",Commodity Producers Equities,2015-12-15,0.35%,N/A,$1.19,2024-06-03,$0.48,2.09%,11.28,1.11,34,63.17%,40%,20%,1099,$52.43,$57.66,$56.17,$56.97,56.70,N/A,A,N/A,N/A,A-,B+,6.53,36.32%,49.26%,326.23,7.76%,0.98%
FMAT,Fidelity MSCI Materials Index ETF,Equity,"$560,031,000",11.12%,"38,243",$53.53,-0.59%,No,False,2.42%,2.88%,24.43%,7.71%,12.90%,"$27,072,940.00","$2,657,640.00","$2,657,640.00","$13,952,935.00","$3,515,820.00","$228,535,290.00",Materials,2013-10-21,0.08%,Fidelity,$0.82,2024-09-20,$0.21,1.52%,14.22,1.12,115,52.58%,40%,20%,1099,$49.65,$54.09,$53.29,$53.86,61.70,N/A,A+,N/A,N/A,A-,N/A,6.88,76.67%,64.04%,550.12,3.39%,5.37%
IGE,iShares North American Natural Resources ETF,Equity,"$517,190,000",9.31%,"62,658",$44.01,-2.11%,No,False,0.56%,-1.93%,8.34%,18.02%,12.10%,"-$111,775,467.45",$0.00,"$15,458.65","-$121,617,676.30","-$109,100,078.05","-$239,568,193.05",Large Cap Blend Equities,2001-10-22,0.41%,N/A,$1.13,2024-06-11,$0.27,2.52%,8.19,1.25,127,42.75%,40%,20%,1099,$41.87,$45.50,$43.77,$44.43,50.76,A-,B,C+,C,A,B-,6.81,72.64%,61.35%,379.41,2.49%,0.74%
