Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
VNQ,Vanguard Real Estate ETF,Real Estate,"$38,654,900,000",13.52%,"3,884,494",$98.24,-0.67%,No,False,0.08%,3.65%,34.98%,1.51%,4.91%,"$1,056,248,353.00","-$195,176,636.34","$119,465,681.78","$343,581,516.64","-$1,240,658,922.55","$2,264,424,626.37",Real Estate,2004-09-23,0.12%,2 Platforms,$3.56,2024-06-28,$1.03,3.60%,27.70,0.91,155,43.76%,40%,20%,1099,$93.54,$100.18,$97.77,$98.97,67.58,A,A,B-,B-,A-,A,6.07,64.44%,38.03%,80.41,3.04%,15.07%
XLRE,Real Estate Select Sector SPDR Fund,Real Estate,"$8,121,950,000",14.20%,"5,636,952",$44.67,-0.42%,No,False,0.25%,3.71%,36.38%,2.51%,6.16%,"$1,564,309,090.00","$94,126,818.10","$309,009,383.20","$2,396,468,218.80","$3,687,901,163.05","$3,962,104,393.75",Real Estate,2015-10-07,0.09%,N/A,$1.38,2024-09-23,$0.31,3.08%,33.65,0.84,33,59.74%,40%,20%,1099,$42.64,$45.54,$44.46,$44.98,67.66,A,A,A-,C,B,C+,6.63,95.56%,52.93%,95.19,3.08%,16.63%
SCHH,Schwab US REIT ETF,Real Estate,"$8,086,730,000",13.75%,"3,639,731",$23.21,-1.11%,No,False,-0.43%,3.25%,35.09%,2.26%,2.62%,"$635,854,000.00","$22,107,500.00","$515,477,000.00","$852,410,500.00","$1,556,999,000.00","$1,985,505,000.00",Real Estate,2011-01-13,0.07%,Charles Schwab,$0.66,2024-06-26,$0.19,2.83%,25.00,0.92,118,47.34%,40%,20%,1099,$22.25,$23.76,$23.10,$23.37,64.48,A,A+,B+,C+,C+,A-,6.06,60.56%,37.89%,87.56,3.51%,16.45%
IYR,iShares U.S. Real Estate ETF,Real Estate,"$4,777,390,000",12.60%,"5,146,940",$101.89,-1.27%,No,False,-0.66%,2.77%,33.62%,1.47%,4.53%,"-$106,467,633.20","-$323,078,723.85","$52,263,917.00","$1,308,122,090.00","-$2,493,124,346.80","-$390,139,511.80",Real Estate,2000-06-12,0.39%,Fidelity,$2.55,2024-06-11,$0.55,2.47%,25.96,0.91,68,47.97%,40%,20%,1099,$97.97,$104.58,$101.40,$102.63,62.85,A+,B,B-,B-,C+,A-,6.23,81.11%,41.52%,83.17,3.51%,15.64%
REET,iShares Global REIT ETF,Real Estate,"$4,141,450,000",11.39%,"624,249",$26.70,-1.48%,No,False,-0.71%,2.81%,29.17%,0.83%,2.40%,"$214,685,550.00","-$30,915,690.00","-$47,997,545.00","$344,232,385.00","$902,293,425.00","$2,152,517,765.00",Global Real Estate,2014-07-08,0.14%,N/A,$0.71,2024-06-11,$0.07,2.63%,16.17,0.93,346,35.97%,40%,20%,1099,$25.69,$27.42,$26.58,$26.88,61.95,A+,A,A+,B,A-,N/A,5.86,11.46%,33.78%,82.82,2.94%,22.84%
VNQI,Vanguard Global ex-U.S. Real Estate ETF,Real Estate,"$3,626,580,000",8.01%,"245,386",$46.00,-0.95%,No,False,1.30%,3.67%,22.96%,-3.80%,-1.13%,"-$312,609,808.44","-$120,041,646.57","-$142,449,913.65","-$336,973,397.17","-$459,920,326.49","-$808,474,278.70",Global Real Estate,2010-11-01,0.12%,Vanguard,$1.59,2023-12-18,$1.59,3.46%,10.20,0.76,648,24.25%,40%,20%,1099,$43.90,$46.53,$45.87,$46.25,62.05,A,A,C+,B+,B-,A+,6.46,73.44%,46.89%,67.97,0.76%,28.32%
USRT,iShares Core U.S. REIT ETF,Real Estate,"$2,894,200,000",14.92%,"217,046",$61.73,-1.34%,No,False,-0.50%,2.90%,34.34%,3.84%,5.47%,"$172,282,282.45","-$6,217,538.00","$36,802,697.50","$360,968,458.85","$365,901,615.95","$876,622,950.95",Real Estate,2007-05-01,0.08%,N/A,$1.71,2024-06-11,$0.29,2.85%,28.61,0.94,132,48.57%,40%,20%,1099,$59.40,$63.25,$61.43,$62.11,62.14,A-,A,B+,C+,B-,A,5.58,21.67%,29.69%,90.03,4.00%,17.47%
ICF,iShares Cohen & Steers REIT ETF,Real Estate,"$2,311,120,000",13.51%,"118,726",$66.06,-1.24%,No,False,-0.71%,2.99%,34.76%,1.68%,4.46%,"-$121,561,085.60","$3,311,375.80","-$32,736,430.85","-$270,773,509.15","-$145,497,745.40","-$202,248,715.40",Real Estate,2001-01-29,0.33%,N/A,$1.66,2024-06-11,$0.26,2.48%,32.37,0.84,31,58.03%,40%,20%,1099,$63.60,$67.94,$65.75,$66.51,61.95,A-,A-,A-,C+,B+,B-,6.43,91.67%,45.97%,97.19,3.62%,16.05%
DFGR,Dimensional Global Real Estate ETF,Equity,"$2,145,210,000",12.94%,"246,778",$28.87,-0.62%,No,False,0.14%,3.93%,33.13%,N/A,N/A,"$475,033,977.68","$10,106,663.70","$38,691,844.49","$894,735,347.68","$1,807,973,712.68","$1,807,973,712.68",Real Estate,2022-12-06,0.22%,N/A,$0.77,2024-09-17,$0.20,2.67%,0.05,1.14,450,36.93%,40%,20%,1099,$27.50,$29.44,$28.75,$29.04,67.06,A,A,N/A,B-,B+,N/A,6.14,39.06%,39.53%,82.88,2.57%,20.29%
RWR,SPDR Dow Jones REIT ETF,Real Estate,"$1,772,040,000",14.90%,"229,211",$106.97,-0.43%,No,False,0.24%,3.59%,34.63%,3.39%,4.44%,"$147,368,903.21","$48,291,978.22","$29,854,554.65","$145,785,693.74","-$37,261,021.92","-$793,943,533.38",Real Estate,2001-04-23,0.25%,TD Ameritrade,$3.55,2024-09-23,$0.84,3.30%,0.03,0.95,104,48.84%,40%,20%,1099,$102.11,$108.83,$106.46,$107.64,66.58,A-,A-,B,B-,B+,A-,5.59,24.44%,29.81%,94.32,0.00%,18.53%
