Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
XLU,Utilities Select Sector SPDR Fund,Equity,"$18,210,700,000",29.55%,"10,321,003",$80.18,0.53%,No,False,2.86%,7.03%,35.08%,10.55%,7.78%,"$643,451,633.40","-$262,439,190.85","$154,928,021.35","$320,535,602.55","$3,343,993,376.25","$4,562,289,584.70",Utilities Equities,1998-12-16,0.09%,N/A,$2.21,2024-09-23,$0.54,2.77%,17.85,0.52,33,58.74%,40%,20%,1099,$73.95,$80.55,$79.63,$80.57,71.49,A+,A,B+,A,A,B-,6.75,40.82%,58.38%,1795.49,69.09%,3.18%
PAVE,Global X US Infrastructure Development ETF,Equity,"$8,297,250,000",17.66%,"1,151,534",$40.46,-0.57%,No,False,2.28%,3.11%,36.16%,16.63%,21.16%,"$1,496,229,693.73","$20,042,136.03","$29,972,704.04","$1,471,354,426.74","$1,674,439,715.72","$5,524,846,255.32",Utilities Equities,2017-03-06,0.47%,N/A,$0.24,2024-06-27,$0.08,0.58%,15.49,1.27,100,31.47%,40%,20%,1099,$36.45,$41.30,$40.28,$40.75,61.14,B+,B,N/A,C+,B-,N/A,6.8,64.53%,60.98%,189.38,5.20%,6.13%
VPU,Vanguard Utilities ETF,Equity,"$6,664,910,000",29.03%,"180,732",$174.03,0.51%,No,False,2.62%,6.56%,34.69%,10.26%,7.14%,"$540,924,792.69","-$12,857,000.00","-$3,860,051.58","$237,219,700.01","$677,550,433.33","$1,282,941,979.74",Utilities Equities,2004-01-26,0.10%,Vanguard,$4.86,2024-06-28,$1.24,2.81%,22.50,0.54,67,53.59%,40%,20%,1099,$161.09,$174.97,$172.97,$174.81,70.91,A,A,A-,A-,A-,A-,6.77,42.86%,59.33%,1740.87,62.86%,4.05%
IGF,iShares Global Infrastructure ETF,Equity,"$4,206,410,000",17.19%,"313,709",$54.22,-0.50%,No,False,1.18%,3.89%,28.37%,8.41%,6.09%,"-$23,463,250.00","$43,261,480.00","$190,593,940.00","-$287,411,220.00","$574,718,240.00","$430,789,010.00",Utilities Equities,2007-12-10,0.42%,N/A,$1.74,2024-06-11,$0.83,3.20%,21.48,0.80,75,38.23%,40%,20%,1099,$51.32,$54.76,$54.06,$54.47,69.83,A,B,A,A,A,C+,7.25,36.36%,80.02%,735.22,34.13%,1.76%
IFRA,iShares U.S. Infrastructure ETF,Equity,"$2,750,930,000",16.14%,"192,049",$46.41,-1.02%,No,False,0.56%,2.41%,28.35%,12.39%,13.22%,"$113,261,796.55","$10,673,188.75","$44,002,930.60","$142,409,813.55","$1,509,274,181.30","$2,139,067,316.30",Utilities Equities,2018-04-03,0.30%,N/A,$0.79,2024-06-11,$0.17,1.68%,13.29,1.03,161,8.16%,40%,20%,1099,$43.28,$47.52,$46.24,$46.67,59.76,B+,B+,B-,B-,B+,N/A,6.37,51.16%,44.45%,842.34,15.56%,6.99%
NFRA,FlexShares STOXX Global Broad Infrastructure Index Fund,Equity,"$2,496,630,000",12.70%,"83,432",$59.18,-0.50%,No,False,0.52%,2.97%,24.14%,3.95%,5.29%,"$31,922,170.00","$17,684,160.00","$97,537,840.00","-$29,302,425.00","-$239,045,905.00","$793,844,375.00",Utilities Equities,2013-10-08,0.47%,N/A,$1.40,2024-09-20,$0.35,2.37%,25.19,0.74,174,28.45%,40%,20%,1099,$57.04,$59.89,$59.03,$59.45,65.93,A-,B+,A,A,B,B,6.93,22.73%,66.46%,471.94,17.54%,5.76%
IDU,iShares U.S. Utilities ETF,Equity,"$1,532,740,000",28.19%,"170,045",$101.41,-0.15%,No,False,2.19%,5.42%,35.41%,10.45%,7.10%,"$433,002,723.50","$20,268,240.80","$59,486,101.95","$435,791,591.30","$472,921,905.65","$411,701,550.65",Utilities Equities,2000-06-12,0.39%,N/A,$2.17,2024-06-11,$0.44,2.14%,23.63,0.53,46,54.39%,40%,20%,1099,$95.08,$102.22,$100.81,$101.82,68.24,A,B+,B+,A-,B+,B+,6.64,34.69%,53.10%,1671.79,59.34%,4.34%
FUTY,Fidelity MSCI Utilities Index ETF,Equity,"$1,443,870,000",29.09%,"187,154",$51.47,0.45%,No,False,2.64%,6.68%,34.82%,10.29%,7.20%,"-$171,235,735.00","$22,909,605.00","$42,588,785.00","-$544,936,345.00","$236,246,155.00","$488,295,745.00",Utilities Equities,2013-10-21,0.08%,Fidelity,$1.39,2024-09-20,$0.37,2.72%,21.83,0.54,68,54.26%,40%,20%,1099,$47.62,$51.74,$51.16,$51.69,71.39,N/A,A+,N/A,N/A,A-,N/A,6.76,41.84%,59.02%,1747.39,63.14%,4.04%
GII,SPDR S&P Global Infrastructure ETF,Equity,"$460,025,000",16.83%,"38,049",$61.55,-0.60%,No,False,1.15%,3.72%,27.98%,8.33%,6.13%,"-$15,647,073.80",$0.00,$0.00,"-$53,498,099.20","-$41,878,883.10","$6,050,839.65",Utilities Equities,2007-01-25,0.40%,Charles Schwab,$2.07,2024-06-03,$0.87,3.35%,16.28,0.81,76,38.22%,40%,20%,1099,$58.42,$62.07,$61.37,$61.76,68.35,B+,B+,A,A,A,C+,7.26,37.06%,80.09%,735.01,34.13%,1.76%
RSPU,Invesco S&P 500 Equal Weight Utilities ETF,Equity,"$338,400,000",26.89%,"29,731",$67.93,0.62%,No,False,2.36%,6.32%,35.09%,11.83%,7.82%,"$9,423,370.00","$1,331,720.00","$13,176,640.00","-$34,955,380.00","$62,750,320.00","-$72,387,810.00",Utilities Equities,2006-11-01,0.40%,N/A,$1.62,2024-09-23,$0.46,2.39%,N/A,N/A,33,34.46%,40%,20%,1099,$63.14,$68.25,$67.54,$68.18,71.09,A-,A-,C,C+,A-,N/A,6.73,37.76%,57.80%,1828.21,54.70%,4.87%
