Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
QQQ,Invesco QQQ Trust Series I,Equity,"$294,017,000,000",19.14%,"37,429,728",$485.82,0.09%,No,False,3.19%,1.35%,38.10%,9.90%,21.71%,"$19,689,058,450.00","$2,281,270,700.00","$32,411,750.00","$23,691,075,100.00","$38,282,873,100.00","$69,270,699,300.00",Large Cap Growth Equities,1999-03-10,0.20%,N/A,$3.04,2024-09-23,$0.68,0.62%,22.70,1.11,102,50.97%,40%,20%,1099,$450.02,$490.48,$484.32,$487.55,58.74,A,B+,A,C+,B-,B-,6.79,64.88%,60.18%,59.12,6.99%,9.28%
VGT,Vanguard Information Technology ETF,Equity,"$76,819,100,000",20.91%,"493,212",$583.02,0.07%,No,False,3.56%,0.52%,43.48%,12.20%,23.23%,"$5,200,064,678.39","$44,175,249.24","$314,600,350.05","$6,093,267,085.14","$6,166,556,366.13","$12,413,784,191.09",Technology Equities,2004-01-26,0.10%,Vanguard,$3.70,2024-06-28,$0.76,0.64%,27.40,1.16,319,57.92%,40%,20%,1099,$535.03,$591.26,$580.50,$585.76,57.47,A,A,A-,B+,A-,A,7.56,85.81%,88.81%,19.98,1.77%,13.36%
XLK,Technology Select Sector SPDR Fund,Equity,"$69,556,200,000",17.11%,"5,450,145",$224.25,0.29%,No,False,3.44%,0.31%,39.48%,13.65%,24.14%,"$1,595,125,391.05","$164,092,594.10","-$1,000,530,675.30","$4,071,923,022.15","$5,177,388,679.30","$5,329,100,776.05",Technology Equities,1998-12-16,0.09%,N/A,$1.56,2024-09-23,$0.40,0.70%,23.77,1.14,71,61.74%,40%,20%,1099,$204.90,$228.12,$223.14,$225.30,56.33,A+,A,A-,A-,A,B+,8.24,97.05%,98.80%,21.77,2.55%,18.32%
SMH,VanEck Semiconductor ETF,Equity,"$23,420,000,000",40.41%,"8,782,396",$245.54,0.88%,No,False,6.27%,-1.15%,75.56%,22.63%,34.15%,"$6,584,381,010.00","$512,488,700.00","$387,605,395.00","$6,882,490,145.00","$9,859,581,470.00","$12,240,426,826.45",Technology Equities,2000-05-05,0.35%,N/A,$1.04,2023-12-18,$1.04,0.42%,20.35,1.35,26,71.89%,40%,20%,1099,$216.70,$249.51,$243.20,$247.48,54.51,A,A,A+,B-,A-,C,8.77,98.99%,99.89%,51.39,0.00%,20.99%
IYW,iShares U.S. Technology ETF,Equity,"$18,798,400,000",22.93%,"889,680",$150.73,0.27%,No,False,3.64%,0.90%,46.23%,12.58%,24.89%,"$1,409,359,385.60","$30,203,254.35","-$308,013,304.45","$2,818,986,718.40","$3,732,889,093.10","$4,132,230,808.10",Technology Equities,2000-05-15,0.39%,N/A,$0.48,2024-06-11,$0.08,0.32%,26.80,1.15,142,63.59%,40%,20%,1099,$138.05,$152.66,$149.92,$151.46,57.64,A,A-,A,B+,B+,A,7.38,80.00%,83.83%,18.04,2.40%,12.85%
SOXX,iShares Semiconductor ETF,Equity,"$14,957,100,000",19.14%,"4,240,119",$228.27,0.44%,No,False,4.85%,-2.19%,49.53%,14.05%,27.70%,"$2,876,959,705.80","$76,420,556.60","-$138,315,262.25","$2,857,886,799.25","$4,050,751,647.30","$6,574,071,662.30",Technology Equities,2001-07-10,0.35%,N/A,$2.58,2024-06-11,$0.31,1.13%,20.34,1.34,32,58.31%,40%,20%,1099,$205.78,$233.79,$226.16,$230.08,52.59,A,A,A,C+,A,C+,8.05,95.21%,97.44%,46.98,0.00%,12.04%
FTEC,Fidelity MSCI Information Technology Index ETF,Equity,"$11,925,600,000",20.97%,"326,829",$173.04,0.19%,No,False,3.62%,0.43%,43.92%,12.44%,23.35%,"$1,840,685,010.00",$0.00,"$16,817,895.00","$2,051,566,430.00","$2,635,041,355.00","$3,607,876,095.00",Technology Equities,2013-10-21,0.08%,Fidelity,$1.13,2024-09-20,$0.22,0.65%,26.36,1.16,297,58.54%,40%,20%,1099,$158.83,$175.53,$172.35,$173.87,57.28,A-,A,A-,B+,A-,A,7.57,85.99%,89.09%,19.85,1.77%,13.50%
SOXL,Direxion Daily Semiconductor Bull 3x Shares,Equity,"$11,895,300,000",14.43%,"90,786,992",$35.74,1.91%,No,3x,14.97%,-11.38%,108.87%,-8.70%,26.60%,"$1,161,618,850.00","-$265,020,800.00","$720,354,150.00","-$883,269,600.00","$4,234,215,750.00","$3,717,270,294.94",Leveraged Equities,2010-03-11,0.76%,N/A,$0.31,2024-09-24,$0.06,0.87%,0.03,4.08,31,63.04%,40%,20%,1099,$26.16,$38.79,$34.77,$36.58,49.73,A,A,C+,C,B-,A-,7.66,92.31%,91.02%,46.33,0.00%,8.38%
IGV,iShares Expanded Tech-Software Sector ETF,Equity,"$7,002,690,000",9.53%,"3,854,331",$88.86,-0.52%,No,False,2.29%,2.88%,32.59%,1.70%,16.07%,"-$1,122,407,739.90","$8,845,992.55","$456,174,689.30","-$1,284,744,546.25","$370,673,149.85","$459,516,249.85",Technology Equities,2001-07-10,0.41%,N/A,$0.00,2023-06-07,$0.02,0.00%,48.06,1.06,116,58.25%,40%,20%,1099,$83.27,$90.29,N/A,N/A,58.98,A,A-,B+,B,C,B+,7.86,91.98%,94.90%,8.57,7.89%,1.83%
CIBR,First Trust NASDAQ Cybersecurity ETF,Equity,"$6,649,380,000",10.24%,"612,646",$59.26,-0.67%,No,False,3.38%,0.07%,33.34%,5.57%,17.19%,"$83,482,050.00","-$202,365,550.00","-$348,043,150.00","$105,165,500.00","$910,464,800.00","$3,358,212,250.00",Technology Equities,2015-07-07,0.59%,N/A,$0.26,2024-06-27,$0.07,0.45%,27.85,1.00,34,60.35%,40%,20%,1099,$55.46,$60.36,$58.98,$59.71,57.96,A,B,B-,B+,B,B-,6.75,50.60%,58.64%,7.56,12.24%,0.70%
